"SL. NO.",State,"Const No.",Constituency,"Constituency Type","Total Valid Votes","Winner Name","Social Category",Gender,Party,"Party Symbol","Vote Secured","Runner Up Name","Social Category",Gender,Party,"Party Symbol","Vote Secured",Margin,"Margin %"
27,"Arunachal Pradesh",2,"Arunachal East",GEN,318548,"TAPIR GAO",ST,MALE,INC,Hand,115160,"BOSIRAM SIRAM",ST,MALE,INC,Hand,115160,30421,9.55
28,Assam,1,Kokrajhar,ST,1227584,"JOYANTA BASUMATARY",ST,MALE,BOPF,Nangol,437412,"KAMPA BORGOYARI",ST,MALE,BOPF,Nangol,437412,51583,4.2
29,Assam,2,Dhubri,GEN,2438593,"RAKIBUL HUSSAIN",GENERAL,MALE,AIUDF,"Lock and key",459409,"MOHAMMED BADRUDDIN AJMAL",GENERAL,MALE,AIUDF,"Lock and key",459409,1012476,41.52
30,Assam,3,Barpeta,GEN,1668826,"PHANI BHUSAN CHOUDHURY",GENERAL,MALE,INC,Hand,637762,"DEEP BAYAN",GENERAL,MALE,INC,Hand,637762,222351,13.32
31,Assam,4,Darrang-Udalguri,GEN,1787996,"DILIP SAIKIA",GENERAL,MALE,INC,Hand,539375,"MADHAB RAJBANGSHI",GENERAL,MALE,INC,Hand,539375,329012,18.4
32,Assam,5,Guwahati,GEN,1579140,"BIJULI KALITA MEDHI",GENERAL,FEMALE,INC,Hand,643797,"MIRA BORTHAKUR GOSWAMI",GENERAL,FEMALE,INC,Hand,643797,251090,15.9
33,Assam,6,Diphu,ST,666568,"AMARSING TISSO",ST,MALE,IND,Scissors,187017,"J. I. KATHAR",ST,MALE,IND,Scissors,187017,147603,22.14
34,Assam,7,Karimganj,GEN,1143942,"KRIPANATH MALLAH",GENERAL,MALE,INC,Hand,526733,"HAFIZ RASHID AHMED CHOUDHURY",GENERAL,MALE,INC,Hand,526733,18360,1.6
35,Assam,8,Silchar,SC,1076726,"PARIMAL SUKLABAIDYA",SC,MALE,INC,Hand,388094,"SURYA KANTA SARKAR",SC,MALE,INC,Hand,388094,264311,24.55
36,Assam,9,Nagaon,GEN,1538003,"PRADYUT BORDOLOI",GENERAL,MALE,BJP,Lotus,576619,"SURESH BORAH",GENERAL,MALE,BJP,Lotus,576619,212231,13.8
37,Assam,10,Kaziranga,GEN,1605506,"KAMAKHYA PRASAD TASA",GENERAL,FEMALE,INC,Hand,648096,"ROSELINA TIRKEY",GENERAL,FEMALE,INC,Hand,648096,248947,15.51
