"SL. NO.",State,"Const No.",Constituency,"Constituency Type","Total Valid Votes","Winner Name","Social Category",Gender,Party,"Party Symbol","Vote Secured","Runner Up Name","Social Category",Gender,Party,"Party Symbol","Vote Secured",Margin,"Margin %"
240,Maharashtra,41,Latur,SC,1235512,"DR. KALGE SHIVAJI BANDAPPA",SC,MALE,BJP,Lotus,547140,"SUDHAKAR TUKARAM SHRANGARE",SC,MALE,BJP,Lotus,547140,61881,5.01
241,Maharashtra,42,Solapur,SC,1201760,"PRANITI SUSHILKUMAR SHINDE",SC,MALE,BJP,Lotus,546028,"RAM VITTHAL SATPUTE",SC,MALE,BJP,Lotus,546028,74197,6.17
242,Maharashtra,43,Madha,GEN,1269716,"MOHITE-PATIL DHAIRYASHEEL RAJSINH",GENERAL,MALE,BJP,Lotus,501376,"RANJEETSINGH HINDURAO NAIK NIMBALKAR",GENERAL,MALE,BJP,Lotus,501376,120837,9.52
243,Maharashtra,44,Sangli,GEN,1162179,"VISHAL (DADA) PRAKASHBAPU PATIL",GENERAL,MALE,BJP,Lotus,471613,"SANJAY (KAKA) PATIL",GENERAL,MALE,BJP,Lotus,471613,100053,8.61
244,Maharashtra,45,Satara,GEN,1192482,"SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE",GENERAL,MALE,NCPSP,"Man blowing turha",538363,"SHASHIKANT JAYVANTRAO SHINDE",GENERAL,MALE,NCPSP,"Man blowing turha",538363,32771,2.75
245,Maharashtra,46,"Ratnagiri- Sindhudurg",GEN,902395,"NARAYAN TATU RANE",GENERAL,MALE,SHSUBT,"Flaming torch",400656,"VINAYAK BHAURAO RAUT",GENERAL,MALE,SHSUBT,"Flaming torch",400656,47858,5.3
246,Maharashtra,47,Kolhapur,GEN,1387343,"CHHATRAPATI SHAHU SHAHAJI",GENERAL,MALE,SHS,"Bow and arrow",599558,"SANJAY SADASHIVRAO MANDLIK",GENERAL,MALE,SHS,"Bow and arrow",599558,154964,11.17
247,Maharashtra,48,Hatkanangale,GEN,1290921,"DHAIRYASHEEL SAMBHAJIRAO MANE",GENERAL,MALE,SHSUBT,"Flaming torch",506764,"SATYAJEET BABASAHEB PATIL (AABA) SARUDKAR",GENERAL,MALE,SHSUBT,"Flaming torch",506764,13426,1.04
248,Manipur,1,"Inner Manipur",GEN,793100,"ANGOMCHA BIMOL AKOIJAM",GENERAL,MALE,BJP,Lotus,264216,"THOUNAOJAM BASANTA KUMAR SINGH",GENERAL,MALE,BJP,Lotus,264216,109801,13.84
249,Manipur,2,"Outer Manipur",ST,789510,"ALFRED KANNGAM S ARTHUR",ST,MALE,NPF,Cock,299536,"KACHUI TIMOTHY ZIMIK",ST,MALE,NPF,Cock,299536,85418,10.82
250,Meghalaya,1,Shillong,ST,1026903,"DR. RICKY ANDREW J. SYNGKON",ST,MALE,INC,Hand,199168,"VINCENT H. PALA",ST,MALE,INC,Hand,199168,371910,36.22
251,Meghalaya,2,Tura,ST,668216,"SALENG A SANGMA",ST,FEMALE,NPEP,Book,228678,"AGATHA K SANGMA",ST,FEMALE,NPEP,Book,228678,155241,23.23
252,Mizoram,1,MIZORAM,ST,489443,"RICHARD VANLALHMANGAIHA",ST,MALE,MNF,Star,140264,"K VANLALVENA",ST,MALE,MNF,Star,140264,68288,13.95
253,Nagaland,1,Nagaland,GEN,759150,"S SUPONGMEREN JAMIR",ST,MALE,NDPP,Globe,350967,"DR CHUMBEN MURRY",ST,MALE,NDPP,Globe,350967,50984,6.72
254,Odisha,1,Bargarh,GEN,1297323,"PRADEEP PUROHIT",GENERAL,FEMALE,BJD,Conch,464692,"PARINITA MISHRA",GENERAL,FEMALE,BJD,Conch,464692,251667,19.4
255,Odisha,2,Sundargarh,ST,1137976,"JUAL ORAM",ST,MALE,BJD,Conch,355474,"DILIP KUMAR TIRKEY",ST,MALE,BJD,Conch,355474,138808,12.2
256,Odisha,3,Sambalpur,GEN,1184264,"DHARMENDRA PRADHAN",GENERAL,MALE,BJD,Conch,472326,"PRANAB PRAKASH DAS",GENERAL,MALE,BJD,Conch,472326,119836,10.12
257,Odisha,4,Keonjhar,ST,1231852,"ANANTA NAYAK",ST,MALE,BJD,Conch,476881,"DHANURJAYA SIDU",ST,MALE,BJD,Conch,476881,97042,7.88
258,Odisha,5,Mayurbhanj,ST,1154097,"NABA CHARAN MAJHI",ST,MALE,BJD,Conch,366637,"SUDAM MARNDI",ST,MALE,BJD,Conch,366637,219334,19
259,Odisha,6,Balasore,GEN,1231339,"PRATAP CHANDRA SARANGI",GENERAL,FEMALE,BJD,Conch,416335,"LEKHASRI SAMANTSINGHAR",GENERAL,FEMALE,BJD,Conch,416335,147151,11.95
260,Odisha,7,Bhadrak,SC,1291899,"AVIMANYU SETHI",SC,FEMALE,BJD,Conch,481775,"MANJULATA MANDAL",SC,FEMALE,BJD,Conch,481775,91544,7.09
261,Odisha,8,Jajpur,SC,1154420,"RABINDRA NARAYAN BEHERA",SC,FEMALE,BJD,Conch,532652,"SARMISTHA SETHI",SC,FEMALE,BJD,Conch,532652,1587,0.14
262,Odisha,9,Dhenkanal,GEN,1177896,"RUDRA NARAYAN PANY",GENERAL,MALE,BJD,Conch,522154,"ABINASH SAMAL",GENERAL,MALE,BJD,Conch,522154,76567,6.5
263,Odisha,10,Bolangir,GEN,1384184,"SANGEETA KUMARI SINGH DEO",GENERAL,MALE,BJD,Conch,485080,"SURENDRA SINGH BHOI",GENERAL,MALE,BJD,Conch,485080,132664,9.58
264,Odisha,11,Kalahandi,GEN,1314529,"MALVIKA DEVI",GENERAL,MALE,BJD,Conch,410490,"LAMBODAR NIAL",GENERAL,MALE,BJD,Conch,410490,133813,10.18
265,Odisha,12,Nabarangpur,ST,1199207,"BALABHADRA MAJHI",ST,MALE,BJD,Conch,393860,"PRADEEP KUMAR MAJHI",ST,MALE,BJD,Conch,393860,87536,7.3
266,Odisha,13,Kandhamal,GEN,980371,"SUKANTA KUMAR PANIGRAHI",GENERAL,MALE,BJD,Conch,395044,"ACHYUTANANDA SAMANTA",GENERAL,MALE,BJD,Conch,395044,21371,2.18
267,Odisha,14,Cuttack,GEN,1112636,"BHARTRUHARI MAHTAB",GENERAL,MALE,BJD,Conch,474524,"SANTRUPT MISRA",GENERAL,MALE,BJD,Conch,474524,57077,5.13
268,Odisha,15,Kendrapara,GEN,1271293,"BAIJAYANT PANDA",GENERAL,MALE,BJD,Conch,549169,"ANSHUMAN MOHANTY",GENERAL,MALE,BJD,Conch,549169,66536,5.23
269,Odisha,16,Jagatsinghpur,SC,1281405,"BIBHU PRASAD TARAI",SC,FEMALE,BJD,Conch,548397,"DR. RAJASHREE MALLICK",SC,FEMALE,BJD,Conch,548397,40696,3.18
270,Odisha,17,Puri,GEN,1189328,"SAMBIT PATRA",GENERAL,MALE,BJD,Conch,524621,"ARUP MOHAN PATNAIK",GENERAL,MALE,BJD,Conch,524621,104709,8.8
271,Odisha,18,Bhubaneswar,GEN,1073913,"APARAJITA SARANGI",GENERAL,MALE,BJD,Conch,477367,"MANMATH KUMAR ROUTRAY",GENERAL,MALE,BJD,Conch,477367,35152,3.27
272,Odisha,19,Aska,GEN,995973,"ANITA SUBHADARSHINI",GENERAL,FEMALE,BJD,Conch,394252,"RANJITA SAHU",GENERAL,FEMALE,BJD,Conch,394252,99974,10.04
273,Odisha,20,Berhampur,GEN,1026981,"DR. PRADEEP KUMAR PANIGRAHY",GENERAL,MALE,BJD,Conch,347626,"BHRUGU BAXIPATRA",GENERAL,MALE,BJD,Conch,347626,165476,16.11
274,Odisha,21,Koraput,ST,1110513,"SAPTAGIRI SANKAR ULAKA",ST,FEMALE,BJD,Conch,323318,"KAUSALYA HIKAKA",ST,FEMALE,BJD,Conch,323318,147728,13.3
275,Punjab,1,Gurdaspur,GEN,1074472,"SUKHJINDER SINGH RANDHAWA",GENERAL,MALE,BJP,Lotus,281182,"DINESH SINGH BABBU",GENERAL,MALE,BJP,Lotus,281182,82861,7.71
276,Punjab,2,Amritsar,GEN,901942,"GURJEET SINGH AUJLA",GENERAL,MALE,AAAP,Broom,214880,"KULDEEP SINGH DHALIWAL",GENERAL,MALE,AAAP,Broom,214880,40301,4.47
277,Punjab,3,"Khadoor Sahib",GEN,1043713,"AMRITPAL SINGH",GENERAL,MALE,INC,Hand,207310,"KULBIR SINGH ZIRA",GENERAL,MALE,INC,Hand,207310,197120,18.89
278,Punjab,4,Jalandhar,SC,984364,"CHARANJIT SINGH CHANNI",SC,MALE,BJP,Lotus,214060,"SUSHIL KUMAR RINKU",SC,MALE,BJP,Lotus,214060,175993,17.88
279,Punjab,5,Hoshiarpur,SC,942933,"DR. RAJ KUMAR CHABBEWAL",SC,FEMALE,INC,Hand,259748,"YAMINI GOMAR",SC,FEMALE,INC,Hand,259748,44111,4.68
280,Punjab,6,"Anandpur Sahib",GEN,1070721,"MALVINDER SINGH KANG",GENERAL,MALE,INC,Hand,302371,"VIJAY INDER SINGLA",GENERAL,MALE,INC,Hand,302371,10846,1.01
281,Punjab,7,Ludhiana,GEN,1054081,"AMRINDER SINGH RAJA WARRING",GENERAL,MALE,BJP,Lotus,301282,"RAVNEET SINGH BITTU",GENERAL,MALE,BJP,Lotus,301282,20942,1.99
282,Punjab,8,"Fatehgarh Sahib",SC,965068,"AMAR SINGH",SC,MALE,AAAP,Broom,298389,"GURPREET SINGH GP",SC,MALE,AAAP,Broom,298389,34202,3.54
283,Punjab,9,Faridkot,SC,1010312,"SARABJEET SINGH KHALSA",SC,MALE,AAAP,Broom,228009,"KARAMJIT SINGH ANMOL",SC,MALE,AAAP,Broom,228009,70053,6.93
284,Punjab,10,Firozpur,GEN,1119015,"SHER SINGH GHUBAYA",GENERAL,MALE,AAAP,Broom,263384,"JAGDEEP SINGH KAKA BRAR",GENERAL,MALE,AAAP,Broom,263384,3242,0.29
285,Punjab,11,Bathinda,GEN,1146237,"HARSIMRAT KAUR BADAL",GENERAL,MALE,AAAP,Broom,326902,"GURMEET SINGH KHUDIAN",GENERAL,MALE,AAAP,Broom,326902,49656,4.33
286,Punjab,12,Sangrur,GEN,1005845,"GURMEET SINGH MEET HAYER",GENERAL,MALE,INC,Hand,191525,"SUKHPAL SINGH KHAIRA",GENERAL,MALE,INC,Hand,191525,172560,17.16
287,Punjab,13,Patiala,GEN,1145062,"DR DHARAMVIRA GANDHI",GENERAL,MALE,AAAP,Broom,290785,"DR BALBIR SINGH",GENERAL,MALE,AAAP,Broom,290785,14831,1.3
288,Rajasthan,1,GANGANAGAR,SC,1400399,"KULDEEP INDORA",SC,FEMALE,BJP,Lotus,638339,"PRIYANKA BALAN MEGHWAL",SC,FEMALE,BJP,Lotus,638339,88153,6.29
289,Rajasthan,2,BIKANER,SC,1105724,"ARJUN RAM MEGHWAL",SC,MALE,INC,Hand,511026,"GOVINDRAM MEGHWAL",SC,MALE,INC,Hand,511026,55711,5.04
290,Rajasthan,3,CHURU,GEN,1417989,"RAHUL KASWAN",GENERAL,MALE,BJP,Lotus,655474,"DEVENDRA JHAJHARIA",GENERAL,MALE,BJP,Lotus,655474,72737,5.13
291,Rajasthan,4,JHUNJHUNU,GEN,1112295,"BRIJENDRA SINGH OLA",GENERAL,MALE,BJP,Lotus,534933,"SHUBHKARAN CHOUDHARY",GENERAL,MALE,BJP,Lotus,534933,18235,1.64
292,Rajasthan,5,SIKAR,GEN,1293590,AMRARAM,GENERAL,MALE,BJP,Lotus,586404,"SUMEDHANAND SARASWATI",GENERAL,MALE,BJP,Lotus,586404,72896,5.64
293,Rajasthan,6,"JAIPUR RURAL",GEN,1254535,"RAO RAJENDRA SINGH",GENERAL,MALE,INC,Hand,616262,"ANIL CHOPRA",GENERAL,MALE,INC,Hand,616262,1615,0.13
294,Rajasthan,7,JAIPUR,GEN,1452830,"MANJU SHARMA",GENERAL,MALE,INC,Hand,555083,"PRATAP SINGH KHACHARIYAWAS",GENERAL,MALE,INC,Hand,555083,331767,22.84
295,Rajasthan,8,ALWAR,GEN,1247616,"BHUPENDER YADAV",GENERAL,MALE,INC,Hand,583710,"LALIT YADAV",GENERAL,MALE,INC,Hand,583710,48282,3.87
296,Rajasthan,9,BHARATPUR,SC,1127557,"SANJNA JATAV",SC,MALE,BJP,Lotus,527907,"RAMSWAROOP KOLI",SC,MALE,BJP,Lotus,527907,51983,4.61
297,Rajasthan,10,KARAULI-DHOLPUR,SC,980662,"BHAJAN LAL JATAV",SC,FEMALE,BJP,Lotus,431066,"INDU DEVI",SC,FEMALE,BJP,Lotus,431066,98945,10.09
298,Rajasthan,11,DAUSA,ST,1066888,"MURARI LAL MEENA",ST,MALE,BJP,Lotus,408926,"KANHAIYA LAL MEENA",ST,MALE,BJP,Lotus,408926,237340,22.25
299,Rajasthan,12,"TONK-SAWAI MADHOPUR",GEN,1218407,"HARISH CHANDRA MEENA",GENERAL,MALE,BJP,Lotus,558814,"SUKHBIR SINGH JAUNAPURIA",GENERAL,MALE,BJP,Lotus,558814,64949,5.33
300,Rajasthan,13,AJMER,GEN,1189777,"BHAGIRATH CHOUDHARY",GENERAL,MALE,INC,Hand,417471,"RAMCHANDRA CHOUDHARY",GENERAL,MALE,INC,Hand,417471,329991,27.74
301,Rajasthan,14,NAGAUR,GEN,1229702,"HANUMAN BENIWAL",GENERAL,FEMALE,BJP,Lotus,554730,"JYOTI MIRDHA",GENERAL,FEMALE,BJP,Lotus,554730,42225,3.43
302,Rajasthan,15,PALI,GEN,1339989,"P. P. CHAUDHARY",GENERAL,FEMALE,INC,Hand,512038,"SANGEETA BENIWAL",GENERAL,FEMALE,INC,Hand,512038,245351,18.31
303,Rajasthan,16,JODHPUR,GEN,1373247,"GAJENDRA SINGH SHEKHAWAT",GENERAL,MALE,INC,Hand,614379,"KARAN SINGH UCHIYARDA",GENERAL,MALE,INC,Hand,614379,115677,8.42
304,Rajasthan,17,BARMER,GEN,1670148,"UMMEDA RAM BENIWAL",GENERAL,MALE,IND,Apple,586500,"RAVINDRA SINGH BHATI",GENERAL,MALE,IND,Apple,586500,118176,7.08
305,Rajasthan,18,JALORE,GEN,1432667,LUMBARAM,GENERAL,MALE,INC,Hand,595240,"VAIBHAV GEHLOT",GENERAL,MALE,INC,Hand,595240,201543,14.07
306,Rajasthan,19,UDAIPUR,ST,1475428,"MANNA LAL RAWAT",ST,MALE,INC,Hand,476678,"TARACHAND MEENA",ST,MALE,INC,Hand,476678,261608,17.73
307,Rajasthan,20,BANSWARA,ST,1615882,"RAJ KUMAR ROAT",ST,MALE,BJP,Lotus,573777,"MAHENDRAJEETSINGH MALVIYA",ST,MALE,BJP,Lotus,573777,247054,15.29
308,Rajasthan,21,CHITTORGARH,GEN,1493143,"CHANDRA PRAKASH JOSHI",GENERAL,MALE,INC,Hand,498325,"ANJANA UDAILAL",GENERAL,MALE,INC,Hand,498325,389877,26.11
309,Rajasthan,22,RAJSAMAND,GEN,1200719,"MAHIMA KUMARI MEWAR",GENERAL,MALE,INC,Hand,388980,"DR. DAMODAR GURJAR",GENERAL,MALE,INC,Hand,388980,392223,32.67
310,Rajasthan,23,BHILWARA,GEN,1291019,"DAMODAR AGARWAL",GENERAL,MALE,INC,Hand,453034,"C P JOSHI",GENERAL,MALE,INC,Hand,453034,354606,27.47
311,Rajasthan,24,KOTA,GEN,1489896,"OM BIRLA",GENERAL,MALE,INC,Hand,708522,"PRAHLAD GUNJAL",GENERAL,MALE,INC,Hand,708522,41974,2.82
312,Rajasthan,25,JHALAWAR-BARAN,GEN,1405304,"DUSHYANT SINGH",GENERAL,FEMALE,INC,Hand,494387,"URMILA JAIN “BHAYA”",GENERAL,FEMALE,INC,Hand,494387,370989,26.4
313,Sikkim,1,Sikkim,GEN,382366,"INDRA HANG SUBBA",GENERAL,MALE,CAPS,Nagrik,83566,"BHARAT BASNETT",GENERAL,MALE,CAPS,Nagrik,83566,80830,21.14
314,"Tamil Nadu",1,TIRUVALLUR,SC,1398834,"Sasikanth Senthil",SC,MALE,BJP,Lotus,224801,"Balaganapathy, V. Pon",SC,MALE,BJP,Lotus,224801,572155,40.9
315,"Tamil Nadu",2,"CHENNAI NORTH",GEN,889281,"DR.KALANIDHI VEERASWAMY",GENERAL,MALE,ADMK,"Two leaves",158111,"R. MANOHAR",GENERAL,MALE,ADMK,"Two leaves",158111,339222,38.15
316,"Tamil Nadu",3,"CHENNAI SOUTH",GEN,1083668,"T.SUMATHY (ALIAS) THAMIZHACHI THANGAPANDIAN",GENERAL,FEMALE,BJP,Lotus,290683,"DR.TAMILISAI SOUNDARARAJAN",GENERAL,FEMALE,BJP,Lotus,290683,225945,20.85
317,"Tamil Nadu",4,"CHENNAI CENTRAL",GEN,719386,"DAYANIDHI MARAN",GENERAL,MALE,BJP,Lotus,169159,VINOJ,GENERAL,MALE,BJP,Lotus,169159,244689,34.01
318,"Tamil Nadu",5,SRIPERUMBUDUR,GEN,1414485,"T R BAALU",GENERAL,MALE,ADMK,"Two leaves",271582,"G PREMKUMAR",GENERAL,MALE,ADMK,"Two leaves",271582,487029,34.43
319,"Tamil Nadu",6,KANCHEEPURAM,SC,1242613,"SELVAM. G",SC,MALE,ADMK,"Two leaves",364571,"RAJASEKAR. E",SC,MALE,ADMK,"Two leaves",364571,221473,17.82
320,"Tamil Nadu",7,ARAKKONAM,GEN,1151209,"S JAGATHRATCHAKAN",GENERAL,MALE,ADMK,"Two leaves",256657,"L VIJAYAN",GENERAL,MALE,ADMK,"Two leaves",256657,306559,26.63
321,"Tamil Nadu",8,VELLORE,GEN,1120722,"DM KATHIR ANAND",GENERAL,MALE,BJP,Lotus,352990,"AC SHANMUGAM",GENERAL,MALE,BJP,Lotus,352990,215702,19.25
322,"Tamil Nadu",9,KRISHNAGIRI,GEN,1155174,"GOPINATH K",GENERAL,MALE,ADMK,"Two leaves",300397,"JAYAPRAKASH V",GENERAL,MALE,ADMK,"Two leaves",300397,192486,16.66
323,"Tamil Nadu",10,DHARMAPURI,GEN,1238634,"MANI. A.",GENERAL,FEMALE,PMK,Mango,411367,"SOWMIYA ANBUMANI",GENERAL,FEMALE,PMK,Mango,411367,21300,1.72
324,"Tamil Nadu",11,TIRUVANNAMALAI,GEN,1134316,"ANNADURAI, C.N.",GENERAL,MALE,ADMK,"Two leaves",313448,"KALIYAPERUMAL M",GENERAL,MALE,ADMK,"Two leaves",313448,233931,20.62
325,"Tamil Nadu",12,ARANI,GEN,1131073,"THARANIVENTHAN M S",GENERAL,MALE,ADMK,"Two leaves",291333,"GAJENDRAN, G.V.",GENERAL,MALE,ADMK,"Two leaves",291333,208766,18.46
326,"Tamil Nadu",13,VILUPPURAM,SC,1143701,"RAVIKUMAR. D",SC,MALE,ADMK,"Two leaves",406330,"BHAGYARAJ. J",SC,MALE,ADMK,"Two leaves",406330,70703,6.18
327,"Tamil Nadu",14,KALLAKURICHI,GEN,1241036,"MALAIYARASAN D",GENERAL,MALE,ADMK,"Two leaves",507805,"KUMARAGURU R",GENERAL,MALE,ADMK,"Two leaves",507805,53784,4.33
328,"Tamil Nadu",15,SALEM,GEN,1289950,"SELVAGANAPATHI T M",GENERAL,MALE,ADMK,"Two leaves",495728,"VIGNESH P",GENERAL,MALE,ADMK,"Two leaves",495728,70357,5.45
329,"Tamil Nadu",16,NAMAKKAL,GEN,1133319,"MATHESWARAN V S",GENERAL,MALE,ADMK,"Two leaves",432924,"TAMILMANI S",GENERAL,MALE,ADMK,"Two leaves",432924,29112,2.57
330,"Tamil Nadu",17,ERODE,GEN,1079440,K.E.PRAKASH,GENERAL,MALE,ADMK,"Two leaves",325773,"ASHOK KUMAR",GENERAL,MALE,ADMK,"Two leaves",325773,236566,21.92
331,"Tamil Nadu",18,TIRUPPUR,GEN,1124812,"SUBBARAYAN, K.",GENERAL,MALE,ADMK,"Two leaves",346811,"ARUNACHALAM, P.",GENERAL,MALE,ADMK,"Two leaves",346811,125928,11.2
332,"Tamil Nadu",19,NILGIRIS,SC,1005906,"RAJA A",SC,MALE,BJP,Lotus,232627,"DR MURUGAN L",SC,MALE,BJP,Lotus,232627,240585,23.92
333,"Tamil Nadu",20,COIMBATORE,GEN,1361045,"GANAPATHY RAJKUMAR P",GENERAL,MALE,BJP,Lotus,450132,"ANNAMALAI K",GENERAL,MALE,BJP,Lotus,450132,118068,8.67
334,"Tamil Nadu",21,POLLACHI,GEN,1111542,"ESWARASAMY K",GENERAL,MALE,ADMK,"Two leaves",281335,"KARTHIKEYAN A",GENERAL,MALE,ADMK,"Two leaves",281335,252042,22.67
335,"Tamil Nadu",22,DINDIGUL,GEN,1127501,"SACHITHANANTHAM R",GENERAL,MALE,ADMK,"Two leaves",226328,"MOHAMED MUBARAK M A",GENERAL,MALE,ADMK,"Two leaves",226328,443821,39.36
336,"Tamil Nadu",23,KARUR,GEN,1123770,"JOTHIMANI. S",GENERAL,MALE,ADMK,"Two leaves",368090,"THANGAVEL. L",GENERAL,MALE,ADMK,"Two leaves",368090,166816,14.84
337,"Tamil Nadu",24,TIRUCHIRAPPALLI,GEN,1042115,"DURAI VAIKO",GENERAL,MALE,ADMK,"Two leaves",229119,"KARUPPAIAH. P",GENERAL,MALE,ADMK,"Two leaves",229119,313094,30.04
338,"Tamil Nadu",25,PERAMBALUR,GEN,1118904,"ARUN NEHRU",GENERAL,MALE,ADMK,"Two leaves",214102,"CHANDRAMOHAN N D",GENERAL,MALE,ADMK,"Two leaves",214102,389107,34.78
339,"Tamil Nadu",26,CUDDALORE,GEN,1024271,"M.K. VISHNUPRASAD",GENERAL,MALE,DMDK,Nagara,269157,"P. SIVAKOZHUNDU",GENERAL,MALE,DMDK,Nagara,269157,185896,18.15
340,"Tamil Nadu",27,CHIDAMBARAM,SC,1158310,"THIRUMAAVALAVAN THOL",SC,MALE,ADMK,"Two leaves",401530,"CHANDRAHASAN M",SC,MALE,ADMK,"Two leaves",401530,103554,8.94
341,"Tamil Nadu",28,MAYILADUTHURAI,GEN,1079013,"SUDHA R",GENERAL,MALE,ADMK,"Two leaves",247276,"BABU P",GENERAL,MALE,ADMK,"Two leaves",247276,271183,25.13
342,"Tamil Nadu",29,NAGAPATTINAM,SC,964093,"SELVARAJ V",SC,MALE,ADMK,"Two leaves",256087,"DR SURSITH SANKAR G",SC,MALE,ADMK,"Two leaves",256087,208957,21.67
343,"Tamil Nadu",30,THANJAVUR,GEN,1015873,"MURASOLI S",GENERAL,MALE,DMDK,Nagara,182662,"SIVANESAN P",GENERAL,MALE,DMDK,Nagara,182662,319583,31.46
344,"Tamil Nadu",31,SIVAGANGA,GEN,1045230,"KARTI P CHIDAMBARAM",GENERAL,MALE,ADMK,"Two leaves",222013,"XAVIERDASS A",GENERAL,MALE,ADMK,"Two leaves",222013,205664,19.68
345,"Tamil Nadu",32,MADURAI,GEN,975795,"VENKATESAN S",GENERAL,MALE,BJP,Lotus,220914,"RAAMA SREENIVASAN",GENERAL,MALE,BJP,Lotus,220914,209409,21.46
346,"Tamil Nadu",33,THENI,GEN,1129883,"THANGA TAMILSELVAN",GENERAL,MALE,AMMKMNKZ,"Pressure cooker",292668,"TTV DHINAKARAN",GENERAL,MALE,AMMKMNKZ,"Pressure cooker",292668,278825,24.68
347,"Tamil Nadu",34,VIRUDHUNAGAR,GEN,1052493,"MANICKAM TAGORE B",GENERAL,MALE,DMDK,Nagara,380877,"VIJAYAPRABHAKARAN V",GENERAL,MALE,DMDK,Nagara,380877,4379,0.42
348,"Tamil Nadu",35,RAMANATHAPURAM,GEN,1103558,"NAVASKANI K",GENERAL,MALE,IND,Jackfruit,342882,"PANNEERSELVAM O S/O OTTAKARATHEVAR",GENERAL,MALE,IND,Jackfruit,342882,166782,15.11
349,"Tamil Nadu",36,THOOTHUKKUDI,GEN,968720,"KANIMOZHI KARUNANIDHI",GENERAL,MALE,ADMK,"Two leaves",147991,"SIVASAMY VELUMANI R",GENERAL,MALE,ADMK,"Two leaves",147991,392738,40.54
350,"Tamil Nadu",37,TENKASI,SC,1021954,"DR RANI SRIKUMAR",SC,MALE,ADMK,"Two leaves",229480,"DR K KRISHNASAMY",SC,MALE,ADMK,"Two leaves",229480,196199,19.2
351,"Tamil Nadu",38,TIRUNELVELI,GEN,1060052,"ROBERT BRUCE C",GENERAL,MALE,BJP,Lotus,336676,"NAINAR NAGENTHRAN",GENERAL,MALE,BJP,Lotus,336676,165620,15.62
352,"Tamil Nadu",39,KANNIYAKUMARI,GEN,1025299,"VIJAYAKUMAR (Alias) VIJAY VASANTH",GENERAL,MALE,BJP,Lotus,366341,"RADHAKRISHNAN P",GENERAL,MALE,BJP,Lotus,366341,179907,17.55
353,Tripura,1,"Tripura West",GEN,1195197,"BIPLAB KUMAR DEB",GENERAL,MALE,INC,Hand,269763,"ASISH KUMAR SAHA",GENERAL,MALE,INC,Hand,269763,611578,51.17
354,Tripura,2,"Tripura East",ST,1116042,"KRITI DEVI DEBBARMAN",ST,MALE,CPI(M),"Hammer, Sickle and Star",290628,"RAJENDRA REANG",ST,MALE,CPI(M),"Hammer, Sickle and Star",290628,486819,43.62
355,"Uttar Pradesh",1,Saharanpur,GEN,1224889,"IMRAN MASOOD",GENERAL,MALE,BJP,Lotus,483425,"RAGHAV LAKHANPAL",GENERAL,MALE,BJP,Lotus,483425,64542,5.27
356,"Uttar Pradesh",2,Kairana,GEN,1076557,"IQRA CHOUDHARY",GENERAL,MALE,BJP,Lotus,458897,"PRADEEP KUMAR",GENERAL,MALE,BJP,Lotus,458897,69116,6.42
357,"Uttar Pradesh",3,Muzaffarnagar,GEN,1074753,"HARENDRA SINGH MALIK",GENERAL,MALE,BJP,Lotus,446049,"SANJEEV KUMAR BALYAN",GENERAL,MALE,BJP,Lotus,446049,24672,2.3
358,"Uttar Pradesh",4,Bijnor,GEN,1019986,"CHANDAN CHAUHAN",GENERAL,MALE,SP,Bicycle,366985,DEEPAK,GENERAL,MALE,SP,Bicycle,366985,37508,3.68
359,"Uttar Pradesh",5,Nagina,SC,995996,CHANDRASHEKHAR,SC,MALE,BJP,Lotus,361079,"OM KUMAR",SC,MALE,BJP,Lotus,361079,151473,15.21
360,"Uttar Pradesh",6,Moradabad,GEN,1277361,"RUCHI VIRA",GENERAL,MALE,BJP,Lotus,531601,"KUNWAR SARVESH KUMAR",GENERAL,MALE,BJP,Lotus,531601,105762,8.28
361,"Uttar Pradesh",7,Rampur,GEN,962426,MOHIBBULLAH,GENERAL,MALE,BJP,Lotus,394069,"GHANSHYAM SINGH LODHI",GENERAL,MALE,BJP,Lotus,394069,87434,9.08
362,"Uttar Pradesh",8,Sambhal,GEN,1187766,"ZIA UR REHMAN",GENERAL,MALE,BJP,Lotus,449667,"PARMESHWAR LAL SAINI",GENERAL,MALE,BJP,Lotus,449667,121494,10.23
363,"Uttar Pradesh",9,Amroha,GEN,1104790,"KANWAR SINGH TANWAR",GENERAL,MALE,INC,Hand,447836,"KUNWAR DANISH ALI",GENERAL,MALE,INC,Hand,447836,28670,2.6
364,"Uttar Pradesh",10,Meerut,GEN,1177703,"ARUN GOVIL",GENERAL,FEMALE,SP,Bicycle,535884,"SUNITA VERMA",GENERAL,FEMALE,SP,Bicycle,535884,10585,0.9
365,"Uttar Pradesh",11,Baghpat,GEN,928663,"DR RAJKUMAR SANGWAN",GENERAL,MALE,SP,Bicycle,329508,AMARPAL,GENERAL,MALE,SP,Bicycle,329508,159459,17.17
366,"Uttar Pradesh",12,Ghaziabad,GEN,1462219,"ATUL GARG",GENERAL,FEMALE,INC,Hand,517205,"DOLLY SHARMA",GENERAL,FEMALE,INC,Hand,517205,336965,23.04
