"State/Local Body",Income/Expenditure,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13
"Rajasthan - Jodhpur",Income,349090,410941,407067,440313,484579,597935,712486,722732,1047128,1020944,1216448,1303436,1810874
"Rajasthan - Jodhpur","Expenditure *",314139,343735,345142,382762,400551,425593,528712,603972,917834,940244,973882,1301900,1556795
"Rajasthan - Udaipur",Income,2777520,3088910,3158260,3236460,3980100,4026412,5385540,NA,NA,NA,NA,NA,NA
"Rajasthan - Udaipur","Expenditure *",2157650,1796360,1938250,1803330,2465960,2067901,2952300,NA,NA,NA,NA,NA,NA
"Tamil Nadu - Chennai",Income,3563738,3821453,4976197,5271446,5235195,6192989,NA,7763226,8263367,13973000,16981200,15268500,27606700
"Tamil Nadu - Chennai","Expenditure *",6176476,5775119,6684255,8841291,8674467,10076454,NA,7037654,7939351,12681300,16585100,11942100,27198900
"Tamil Nadu - Madurai",Income,922577,738563,1104491,1091687,1034091,NA,NA,NA,NA,NA,NA,NA,NA
"Tamil Nadu - Madurai","Expenditure *",637497,559476,677165,645236,649003,NA,NA,NA,NA,NA,NA,NA,NA
"Tamil Nadu - Tiruchirappalli",Income,371398,253213,543259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tamil Nadu - Tiruchirappalli","Expenditure *",124385,109664,148058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Uttarakhand - Dheradun",Income,153905,130659,244614,197682,148368,277301,325609,267988,363926,287061,507103,483470,489668
"Uttarakhand - Dheradun",Expenditure,126983,150737,144838,180514,162623,184559,267943,217224,236460,308525,437345,484021,607324
"Uttar Pradesh - Agra",Income,441122,517689,488960,465224,541680,741291,704417,1470395,1216589,1637183,1876039,2786350,2522225
"Uttar Pradesh - Agra","Expenditure *",460712,463999,448136,390575,500491,564791,688158,913293,14117.94,1894041,1850824,2875000,2011842
"Uttar Pradesh - Kanpur",Income,1143,1014,1293,1137,1639,2056,NA,3028,2498,NA,NA,NA,NA
"Uttar Pradesh - Kanpur","Expenditure *",654,912,762,720,894,1965,NA,815,2007,NA,NA,NA,NA
"Uttar Pradesh - Lucknow",Income,1719436,2329693,4014037,3834177,NA,NA,NA,NA,NA,NA,7595679,7631987,10200188
"Uttar Pradesh - Lucknow","Expenditure *",1656725,2207262,3910535,3154344,NA,NA,NA,NA,NA,NA,6696126,7631987,10200188
"Uttar Pradesh - Meerut",Income,464276,451007,507791,492293,511400,592779,580739,1037681,1562664,NA,NA,NA,NA
"Uttar Pradesh - Meerut","Expenditure *",411783,421434,492986,521313,469432,500298,590763,578457,868705,NA,NA,NA,NA
"Uttar Pradesh - Varanasi",Income,514846,388894,389878,418357,389055,563632,564909,116850,400009,2116044,2188845,4234635,NA
"Uttar Pradesh - Varanasi","Expenditure *",158011,149931,139084,157033,154196,159784,214997,NA,NA,1799698,1676356,3980491,NA
"West Bengal - Howrah",Income,605160,457466,564388,490493,733378,NA,NA,NA,NA,NA,NA,NA,NA
"West Bengal - Howrah","Expenditure *",207030,274647,192956,130558,150239,NA,NA,NA,NA,NA,NA,NA,NA
"West Bengal - Chandernagore",Income,66614,87287,84019,92114,98942,102429,109224,NA,NA,NA,NA,NA,NA
"West Bengal - Chandernagore","Expenditure *",15331,22536,34322,38984,37781,41308,39206,NA,NA,NA,NA,NA,NA
