S.No.,"Division/Seat No.","Name of Member","Lok Sabha",Session,State,Constituency,"Total Sittings","No. of days member signed the register"
307,371,"Shri  P.  Karunakaran                                       ",15,3,"Kerala                                                      ",Kasaragod,21,15
308,372,"Shri  Chandrakant  Khaire                                            ",15,3,"Maharashtra                                                 ",Aurangabad,21,14
309,373,"Shri  Anandrao  Adsul                                             ",15,3,"Maharashtra                                                 ",Amravati,21,M
310,374,"Shri  Rajiv Ranjan  Singh  @ Lalan Singh                              ",15,3,"Bihar                                                       ",Munger,21,21
311,376,"Dr.  Rattan Singh  Ajnala                                            ",15,3,"Punjab                                                      ","Khadoor Sahib",21,18
312,377,"Shri  Prasanna  Kumar Patasani                                    ",15,3,"Orissa                                                      ",Bhubaneswar,21,20
313,378,"Smt.  Bhavana  Gawali                                            ",15,3,"Maharashtra                                                 ",Yavatmal-Washim,21,11
314,379,"Shri  Dinesh Chandra  Yadav                                             ",15,3,"Bihar                                                       ",Khagaria,21,20
315,380,"Shri   Mangani Lal  Mandal                                            ",15,3,"Bihar                                                       ",Jhanjharpur,21,18
316,381,"Shri  Digvijay  Singh                                             ",15,3,"Bihar                                                       ",Banka,21,17
317,381,"Shri  Inder Singh  Namdhari                                          ",15,3,"Jharkhand                                                   ",Chatra,21,8
318,382,"Smt.  Jaya Prada  Nahata                                            ",15,3,"Uttar Pradesh                                               ",Rampur,21,6
319,383,"Shri  Tathagata  Satpathy                                          ",15,3,"Orissa                                                      ",Dhenkanal,21,12
320,384,"Shri  Shivaji  Adhalrao Patil                                    ",15,3,"Maharashtra                                                 ",Shirur,21,5
321,385,"Dr.  Ranjan Prasad  Yadav                                             ",15,3,"Bihar                                                       ",Pataliputra,21,18
322,386,"Capt.(Retd.)  Jainarayan Prasad  Nishad                                            ",15,3,"Bihar                                                       ",Muzaffarpur,21,17
323,387,"Dr.  Monazir  Hassan                                            ",15,3,"Bihar                                                       ",Begusarai,21,17
324,388,"Shri  Nama Nageswara  Rao                                               ",15,3,"Andhra Pradesh                                              ",Khammam,21,18
325,389,"Smt.  Harsimrat Kaur  Badal                                             ",15,3,"Punjab                                                      ",Bathinda,21,16
326,390,"Smt.  Paramjit Kaur  Gulshan                                           ",15,3,"Punjab                                                      ",Faridkot,21,14
327,391,"Shri  Mohan  Jena                                              ",15,3,"Orissa                                                      ",Jajpur,21,13
328,392,"Shri  Anand Prakash  Paranjpe                                          ",15,3,"Maharashtra                                                 ",Kalyan,21,13
329,393,"Shri  Jagdish  Sharma                                            ",15,3,"Bihar                                                       ",Jahanabad,21,21
330,394,"Shri  Sushil Kumar  Singh                                             ",15,3,"Bihar                                                       ",Aurangabad,21,9
331,396,"Shri  Narahari  Mahato                                            ",15,3,"West Bengal                                                 ",Purulia,21,9
332,397,"Shri  Ramesh  Rathod                                            ",15,3,"Andhra Pradesh                                              ",Adilabad,21,14
333,398,"Ms.  M. Vijaya  Shanthi                                           ",15,3,"Andhra Pradesh                                              ",Medak,21,1
334,399,"Shri  Pinaki  Misra                                             ",15,3,"Orissa                                                      ",Puri,21,16
335,400,"Shri  Baijayant  Panda                                             ",15,3,"Orissa                                                      ",Kendrapara,21,12
336,402,"Shri  Vishwa Mohan  Kumar                                             ",15,3,"Bihar                                                       ",Supaul,21,18
337,403,"Shri  Baidyanath Prasad  Mahto                                             ",15,3,"Bihar                                                       ","Valmiki Nagar",21,18
338,404,"Shri  Angadi Suresh  Channabasappa                                     ",15,3,"Karnataka                                                   ",Belgaum,21,8
339,405,"Shri  Ramen  Deka                                              ",15,3,"Assam                                                       ",Mangaldoi,21,21
340,406,"Smt.    Rama Devi                                         ",15,3,"Bihar                                                       ",Sheohar,21,9
341,407,"Shri  Nripendra Nath  Roy                                               ",15,3,"West Bengal                                                 ","Cooch Behar",21,14
342,408,"Shri  K. Narayana  Rao                                               ",15,3,"Andhra Pradesh                                              ",Machilipatnam,21,15
343,409,"Shri  Jayaram  Pangi                                             ",15,3,"Orissa                                                      ",Koraput,21,19
344,410,"Shri  Rudramadhab  Ray                                               ",15,3,"Orissa                                                      ",Kandhamal,21,18
345,411,"Shri  A.  Ganeshamurthi                                     ",15,3,"Tamil Nadu                                                  ",Erode,21,17
346,412,"Shri   Prataprao  Ganpatrao Jadhav                                  ",15,3,"Maharashtra                                                 ",Buldhana,21,12
347,413,"Shri  Arjun  Roy                                               ",15,3,"Bihar                                                       ",Sitamarhi,21,19
348,414,"Smt.  Aswamedh  Devi                                              ",15,3,"Bihar                                                       ",Ujiarpur,21,19
349,415,"Shri  P. C.  Mohan                                             ",15,3,"Karnataka                                                   ","Bangalore Central",21,17
350,416,"Shri  Jeetendra Singh  Bundela                                           ",15,3,"Madhya Pradesh                                              ",Khajuraho,21,9
351,417,"Shri  Hari  Manjhi                                            ",15,3,"Bihar                                                       ",Gaya,21,21
352,418,"Shri  Modugula Venugopala  Reddy                                             ",15,3,"Andhra Pradesh                                              ",Narasaraopet,21,14
353,419,"Shri  Naramalli  Sivaprasad                                        ",15,3,"Andhra Pradesh                                              ",Chittoor,21,14
354,420,"Dr.  Kirodi  Lal  Meena                                        ",15,3,"Rajasthan                                                   ",Dausa,21,20
355,421,"Shri  Nityananda  Pradhan                                           ",15,3,"Orissa                                                      ",Aska,21,19
356,422,"Shri  Subhash Bapurao  Wankhede                                          ",15,3,"Maharashtra                                                 ",Hingoli,21,14
357,423,"Shri  Mahabali  Singh                                             ",15,3,"Bihar                                                       ",Karakat,21,21
358,424,"Shri  Purnmasi  Ram                                               ",15,3,"Bihar                                                       ",Gopalganj,21,20
359,425,"Smt.  Darshana  Jardosh                                           ",15,3,"Gujarat                                                     ",Surat,21,17
360,426,"Kum.  Saroj  Pandey                                            ",15,3,"Chhattisgarh                                                ",Durg,21,3
