"Apex Ministry/Dept/State","Parent of Organisation",org_code,org_name,contact_address1,contact_address2,contact_address3,pincode,pg_officer_desig,"Organisation levels"
"Central Board of Direct Taxes (Income Tax)","CENTRAL RANGE CHANDIGARH",CCKNL,"DCIT CC KARNAL","Office of Dy. Commissioner of Income Tax","Central Circle  Karnal","Aayakar Bhawan  Sector-12  Karnal",132008,DCIT,6
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX CHANDIGARH",CCLDH,"CCIT LUDHIANA","AAYAKAR BHAWAN","RISHI NAGAR",LUDHIANA,NA,"CHEIF COMMISSIONER OF IT",3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX MUMBAI",CCM13,"Chief Commissioner of Income Tax -11","3rd Floor  Aayakar Bhavan","M K Road  MUMBAI",NA,400020,"CCIT 11",3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX MUMBAI",CCMIT,"CHIEF COMMISSIONER OF INCOMETAX INTERNATIONAL TAX","ROOM NO.1703  AIR INDIA BUILDING","NARIMAN POINT",MUMBAI,400021,"CCIT IT",3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX MUMBAI",CCMTP,"CCIT Transfer and Pricing","1703  AIR INDIA BLDG",Mumbai,NA,400021,"CCIT TP",3
"Central Board of Direct Taxes (Income Tax)","PR. COMMISSIONER OF INCOME TAX CENTRAL III",CCN29,"CENTRAL CIRCLE 29 NEW DELHI","ROOM 318","ARA CENTRE  JHANDEWALAN EXTN.","NEW DELHI",110055,ACIT,NA
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX BHOPAL",CCOBH,"Commissioner of Income Tax BHOPAL (CO)","48 Arera Hills  Aayakar Bhawan  Opp. Maida Mill  H","oshangabad Road  Bhopal",NA,462001,"CIT Admn and  TPS",3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX CHANDIGARH",CCOCH,"Commissioner of Income Tax (CO), Chandigarh","Aayakar Bhawan",Sector-17E,Chandigarh,160017,CIT,3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX JAIPUR",CCOJP,"Commissioner of Income Tax JAIPUR (CO)","N C R Building","Statue Circle",Jaipur,302005,"CIT C.O. Jaipur",3
"Central Board of Direct Taxes (Income Tax)","Pr. Chief Commissioner of Income Tax (CCA) (Bihar & Jharkhan",CCOPT,"Commissioner of Income Tax PATNA (CO)","Central Revenue Building 2nd Floor Birchand Patel","Marg Patna",NA,800001,"CIT CO Patna",3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX CHANDIGARH",CCPKL,"CCIT PANCHKULA","AAYAKAR BHAWAN","B-43 TO 48  SECTOR 2",PANCHKULA,NA,"CHEIF COMMISSIONER OF IT",3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX BANGALORE",CCPNJ,"CCIT PANAJI","AAYAKAR BHAVAN 2ND FLOOR  PLOT NO.5  EDC COMPLEX","PATTO  PANAJI  GOA",NA,403001,"CCIT PANAJI",3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX BANGALORE",CCBEN,"CHIEF COMMISSIONER OF INCOME TAX BANGALORE II","C R BUILDING","QUEENS ROAD",BANGALORE,560001,"CCIT BANGALORE II",3
"Central Board of Direct Taxes (Income Tax)","Addl. Commissioner of Income Tax Central Bhopal",CCGWL,"Asstt. Commissioner of Income Tax - Central - Gwalior","Aayakar Bhawan","Hoshangabad Road",Bhopal,462011,ACIT,6
"Central Board of Direct Taxes (Income Tax)","Pr. Chief Commissioner of Income Tax Delhi-I",CCIT1,"Chief Commissioner of Income Tax, DELHI-I","Aayaka Bhawan","C.R.Building I P Estate","New Delhi",110002,"CIT Admn. &amp; TPS",3
"Central Board of Direct Taxes (Income Tax)","Pr. CCIT (CCA) Hyderabad",CCIT2,"Chief Commissioner of Income Tax, Hyderabad","9th Floor  I.T. Towers","Masab Tank",Hyderabad,500004,"ITO H.Qrs. CCIT Hyd.",3
"Central Board of Direct Taxes (Income Tax)","Pr. CCIT (CCA) Hyderabad",CCIT3,"Chief Commissioner of Income Tax, HYDERABAD-III","Room No-921  9-B  9th Floor  IT Towers","10-2-3  A.C Guards  Masab Tank",Hyderabad,500004,"CCIT III HYDERABAD",3
"Central Board of Direct Taxes (Income Tax)","Pr. CCIT (CCA) Hyderabad",CCIT4,"Chief Commissioner of Income Tax, VISHAKHAPATNAM","Room No-202  II Floor  Aayakar Bhavan","Daba Gardens",Visakhapatnam,530020,"CCIT VISAKHAPATNAM",3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX BANGALORE",CCITB,"CHIEF COMMISSIONER OF INCOME TAX BANGALORE I","C R BUILDING","QUEENS ROAD",BANGALORE,560001,"CCIT BANGALROE I",3
"Central Board of Direct Taxes (Income Tax)","COMMISSIONER OF INCOME TAX ITTP PUNE",CCITP,"INTERNATIONAL TAXATION RANGE1","2ND FLOOR B O BHAVAN","PUNE SATARA ROAD PARVATI",PUNE,411009,JT.CIT,5
"Central Board of Direct Taxes (Income Tax)","Pr. Chief Commissioner of Income Tax (Intl. Tax)",CCITS,"Chief Commissioner of Income Tax Int. South","1st Floor C.R. Building Queens Road Bangalore",NA,NA,560001,"CCIT IT South Zone Bengaluru",3
"Central Board of Direct Taxes (Income Tax)","Pr. CCIT (CCA) Hyderabad",CCITV,"CHIEF COMMISSIONER OF INCOME TAX VIJAYAWADA","3RD FLOOR SVR PLAZA",MOGALRAJAPURAM,VIJAYAWADA,520010,CCIT,3
"Central Board of Direct Taxes (Income Tax)","Pr. Chief Commissioner of Income Tax (Intl. Tax)",CCITW,"Chief Commissioner of Income Tax Inter West","ROOM NO. 1701  AIR INDIA BUILDING NARIMAN POINT MU",MBAI,NA,400021,"CCIT IT West Zone Mumbai",3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX BANGALORE",CCITX,"CCIT INTERNATIONAL TAXATION","5th Floor  BMTC BUILDING","80 Feet Road  6th Block","Kormangala  Bengaluru",560095,"CCIT INTERNATIONAL TAXATION",3
"Central Board of Direct Taxes (Income Tax)","CENTRAL RANGE KANPUR",CCKP1,"DCIT CENTRAL CIRCLE1 KANPUR","10/503 LAXMI NIWAS",ALENGANJ,KANPUR,208002,"DY.COMMISSIONER OF INCOME TAX",6
"Central Board of Direct Taxes (Income Tax)","CENTRAL RANGE KANPUR",CCKP2,"DCIT CENTRAL CIRCLE II KANPUR","10/503  LAXMI NIWAS",ALENGANJ,KANPUR,208002,"DY.COMMISSIONER OF INCOME TAX",6
"Central Board of Direct Taxes (Income Tax)","Pr. CCIT (CCA) Hyderabad",CCVIJ,"CHIEF COMMISSIONER OF INCOME TAX VIJAYAWADA","3RD FLOOR SVR PLAZA",MOGALRAJAPURAM,VIJAYAWADA,520010,CCIT,3
"Central Board of Direct Taxes (Income Tax)","Pr. CCIT (CCA) Hyderabad",CCVJA,"CHIEF COMMISSIONER OF INCOME TAX VIJAYAWADA","3RD FLOOR SVR PLAZA MOGALRAJAPURAM VIJAYAWADA",vijayawada,"krishna district",520010,"ITO Hqrs. PR",3
"Central Board of Direct Taxes (Income Tax)","Income Tax Department",CCVNS,"DCIT CENTRAL CIRCLE VARANASI","Income Tax Office",M.A.ROAD,VARANASI,221002,"DCIT CENTRAL CIRCLE VARANASI",6
"Central Board of Direct Taxes (Income Tax)","ADDL CIT 13 3",CD131,"Income tax","229  AAYAKAR BHAWAN","M K Road",Mumbai,400020,ACIT13.3.1,6
"Central Board of Direct Taxes (Income Tax)","ADDL CIT 13 3",CD132,"INCOME TAX","ROOM NO. 229","AAYKAR BHAWAN",MUMBAI,400020,"ACIT 13.3.2",6
"Central Board of Direct Taxes (Income Tax)","Pr. Chief Commissioner of Income Tax (CCA) (Bihar & Jharkhan",CDHAN,"Commissioner of Income Tax DHANBAD",Dhanbad,NA,NA,NA,CIT,3
"Central Board of Direct Taxes (Income Tax)","Central Board of Direct Taxes (Income Tax)",CDURG,"CHIEF COMMISSIONER OF INCOME TAX DURGAPUR","Aayakar Bhawan Annex","CITY CENTRE",DURGAPUR,713216,"ITO Hq",2
"Central Board of Direct Taxes (Income Tax)","DGIT INVESTIGATION",CEAMD,"PR. CIT CENTRAL AHMEDABAD","THIRD FLOOR  AAYAKAR BHAWAN","ASHRAM ROAD",AHMEDABAD,380009,"PR. CIT CENTRAL AHMEDABAD",4
"Central Board of Direct Taxes (Income Tax)","CENTRAL RANGE 2",CEC21,"CENTRAL CIRCLE21","8TH FLOOR PRTAISTA BHAVAN","MK ROAD","CHURCHGATE  MUMBAI",400020,"DEPUTY COMMISSIONER CENTRAL21",6
"Central Board of Direct Taxes (Income Tax)","CENTRAL RANGE 2",CEC22,"CENTRAL CIRCLE22","8TH FLOOR PRATISHTA BHAVAN","MK ROAD CHURCHGATE",MUMBAI,400020,"DY COMMISSIONER CENTRAL 22",6
"Central Board of Direct Taxes (Income Tax)","CENTRAL RANGE 2",CEC23,"CENTRAL CIRCLE 23","8TH FLOOR PRATISHTA BHAVAN","MK ROAD CHURCHGATE",MUMBAI,400020,"DY COMMISSIONER CENTRAL 23",6
"Central Board of Direct Taxes (Income Tax)","CENTRAL RANGE 2",CEC24,"CENTRAL CIRCLE 24","8TH FLOOR PRATISHTA BHAVAN","MK ROAD CHURCHGATE",MUMBAI,400020,"DY COMMISSIONER CENTRAL 24",6
"Central Board of Direct Taxes (Income Tax)","AddlCITTDS Range 2 Mumbai",AGD25,ITOTDS25,"706  7TH FLOOR  K G MITTAL HOSPITAL","CHARNI ROAD  MUMBAI",NA,400002,"ITO TDS 2 5",6
"Central Board of Direct Taxes (Income Tax)","ADDL CIT 9 2",AG092,ITO9.2.4,"623 AAYAKAR BHAVAN",CHURCHGATE,MUMBAI,400020,"INCOME TAX OFFICER",6
"Central Board of Direct Taxes (Income Tax)","ADDL CIT 9 2",AF092,ITO9.2.3,"601A  AAYAKAR BHAVAN CHURCHGATE MUMBAI",NA,NA,400020,"INCOME TAX OFFICER",6
"Central Board of Direct Taxes (Income Tax)","ADDL CIT 9 3",AH093,DCIT.9.3.1.MUMBAI,"R.NO.215  2ND FLR  AAYAKAR BHAVAN","CHURCHGATE  MUMBAI.400020",NA,400020,"DY.COMMISSIONER OF INCOME TAX",6
"Central Board of Direct Taxes (Income Tax)","CIT EXEMPTIONS AHMEDABAD",AHDR1,"ADDL CIT RANGE 1 EXEMPTIONS","Aaykar Bhavan  Vejalpur",NA,NA,NA,"ADDL. CIT  EXE RANGE 1 AHD",4
"Central Board of Direct Taxes (Income Tax)","CIT EXEMPTIONS AHMEDABAD",AHDR2,"ADDL CIT RANGE 2 EXEMPTIONS","NATURE VIEW",NA,NA,NA,"ADDL. CIT EXE RANGE 2 AHD",4
"Central Board of Direct Taxes (Income Tax)","ADDL CIT RANGE 1 EXEMPTIONS",AHEBH,"ITO EXE WARD BHAVNAGAR",BHAVNAGAR,NA,NA,NA,"ITO EXE WARD BHAVNAGAR",5
"Central Board of Direct Taxes (Income Tax)","ADDL CIT RANGE 1 EXEMPTIONS",AHEC1,"DCIT EXE CIRCLE 1 AHMEDABAD","Aayakar Bhavan",Vejalpur,Ahmedabad,NA,"ACIT EXE CIRCLE 1 AHMEDABAD",5
"Central Board of Direct Taxes (Income Tax)","ADDL CIT RANGE 2 EXEMPTIONS",AHEC2,"DCIT CIRCLE 2 EXE AHMEDABAD","ROOM NO. 607  6TH FLOOR  AAYAKAR BHAVAN  VEJALPUR","NR. SACHIN TOWER",NA,NA,"ACIT CIRCLE 2 EXE AHMEDABAD",5
"Central Board of Direct Taxes (Income Tax)","ADDL CIT RANGE 1 EXEMPTIONS",AHEPL,"ITO EXE WARD PALANPUR",PALANPUR,NA,NA,NA,"ITO EXE WARD PALANPUR",5
"Central Board of Direct Taxes (Income Tax)","ADDL CIT RANGE 2 EXEMPTIONS",AHER1,"ITO WARD 1 EXE RAJKOT",RAJKOT,NA,NA,NA,"ITO WARD 1 EXE RAJKOT",5
"Central Board of Direct Taxes (Income Tax)","ADDL CIT RANGE 2 EXEMPTIONS",AHER2,"ITO WARD 2 EXE RAJKOT","ROOM NO.617  6TH FLOOR","AMRUTA ESTATE","NEAR GIRNAR CINEMA  RAJKOT",NA,"ITO WARD 2 EXE RAJKOT",5
"Central Board of Direct Taxes (Income Tax)","ADDL CIT RANGE 2 EXEMPTIONS",AHESU,"ITO EXE WARD SURAT",SURAT,NA,NA,NA,"MAHESH K CHAVADA",5
"Central Board of Direct Taxes (Income Tax)","ADDL CIT RANGE 2 EXEMPTIONS",AHEVA,"ITO EXE WARD VADODARA",VADODARA,NA,NA,NA,"ITO EXE WARD VADODARA",5
"Central Board of Direct Taxes (Income Tax)","ADDL CIT RANGE 1 EXEMPTIONS",AHEW1,"ITO EXE WARD 1 AHMEDABAD","Aayakar Bhavan",vejalpur,ahmedabad,NA,"ITO EXE WARD 1 AHMEDABAD",5
"Central Board of Direct Taxes (Income Tax)","ADDL CIT RANGE 1 EXEMPTIONS",AHEW2,"ITO EXE WARD 2 AHMEDABAD",AHMEDABAD,NA,NA,NA,"ITO EXE WARD 2 AHMEDABAD",5
"Central Board of Direct Taxes (Income Tax)","Central Board of Direct Taxes (Income Tax)",AHMED,"CHIEF COMMISSIONER OF INCOME TAX AHMEDABAD","Pr.CCIT-Gujarat  Ahmedabad Room No.222  Aayakar Bh","avan  Ashram Road  Ahemadabad-380 009",NA,380009,Pr.CCIT,2
"Central Board of Direct Taxes (Income Tax)","ADDL CIT 9 3",AI093,"A.C.I.T. OSD. 9.3.1. MUMBAI","R NO 419  4TH FLR  AAYKAR BHAVAN","CHURCHGATE  MUMBAI-400020",NA,400020,"ACIT. OSD.9.3.1",6
"Central Board of Direct Taxes (Income Tax)","ADDL CIT 13 1",AI131,ITO13.1.1,"225  AAYAKAR BHAVAN","M.K. ROAD  CHURCHGATE",MUMBAI,400020,ITO13.1.1,6
"Central Board of Direct Taxes (Income Tax)","ADDL CIT 13 1",AI132,WARD13.1.2,"225  AAYAKAR BHAVAN","M.K. ROAD  CHURCHGATE",MUMBAI,400020,ITO13.1.2,6
"Central Board of Direct Taxes (Income Tax)","ADDL CIT 13 1",AI133,WARD13.1.3,"225  AAYAKAR BHAVAN","M.K. ROAD  CHURCHGATE",MUMBAI,400020,ITO13.1.3,6
"Central Board of Direct Taxes (Income Tax)","ADDL CIT 13 1",AI134,WARD13.1.4,"216B  AAYAKAR BHAVAN","M. K. ROAD  CHURCHGATE",MUMBAI,400020,ITO13.1.4,6
"Central Board of Direct Taxes (Income Tax)","ADDL CIT 31 1",AI311,ITO31.1.1,"Room No.603  Kautilya BhawanBKCMumbai",NA,NA,400051,"Income tax officer",6
"Central Board of Direct Taxes (Income Tax)","ADDL CIT 31 1",AI312,"ITO 31.1.2","Room No.604  Kautilya Bhawan",BKC,Mumbai,400051,ITO,6
"Central Board of Direct Taxes (Income Tax)","ADDL CIT 31 1",AI313,"ITO 31.1.3","Room No.605  Kautilya Bhawan",BKC,Mumbai,400051,ITO,6
"Central Board of Direct Taxes (Income Tax)","ADDL CIT 31 1",AI314,"ITO 31.1.4","606  Kautilya Bhawan",BKC,Mumbai,400051,ITO,6
"Central Board of Direct Taxes (Income Tax)","ADDL CIT 31 1",AI315,"ITO 31.1.5","Room No. 607  Kautilya Bhawan",BKC,Mumbai,400051,ITO,6
"Central Board of Direct Taxes (Income Tax)","CCIT PANAJI",ADVJR,"ADDL COMMISSIONER OF INCOME TAX VIJAYAPURA RANGE","Devoor Building  Behind Godavari Hotel","Athani Road  Vijayapura",Vijayapura,586101,ADDL.CIT,4
"Central Board of Direct Taxes (Income Tax)","ADDL. DIRECTOR OF INCOME TAX INVESTIGATION",ADVN1,"Asstt. Director of Income Tax Inv.1 Varanasi","Aayakar Bhawan  Maqbool Alam Road  Varanasi",NA,NA,221002,"ADIT Inv.1 Varanasi",6
"Central Board of Direct Taxes (Income Tax)","ADDL. DIRECTOR OF INCOME TAX INVESTIGATION",ADVN2,"Asstt. Director of Income Tax Inv.2 Varanasi","Aayakar Bhawan  Maqbool Alam Road  Varanasi",NA,NA,221002,"ADIT Inv.2 Varanasi",6
"Central Board of Direct Taxes (Income Tax)","Pr.DIT Investigation Lucknow",ADVNS,"ADDL. DIRECTOR OF INCOME TAX INVESTIGATION","Room-302 Maqbool Alam Road Aaykar Bhawan Varanasi",NA,NA,221010,"Joint DIRECTOR OF INCOME TAX",5
"Central Board of Direct Taxes (Income Tax)","CCIT PANAJI",ADUDR,"ADDL COMMISSIONER OF INCOME TAX UDUPI RANGE","AAYAKAR BHAVAN  MALPE ROAD","AADIUDUPI  AMBALAPADI PO",UDUPI,576103,ADDL.CIT,4
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX MUMBAI",ADTEP,"Addl. CIT (Hq.)(Tech), Mumbai","R.No.329  3rd floor","Aayakar Bhavan",Mumbai,400020,"Addl.CIT HQ  Tech.",3
"Central Board of Direct Taxes (Income Tax)","ADDL CIT 9 2",AE092,ITO9.2.2,"601A AAYAKAR BHAVAN",CHURCHGATE,MUMBAI,400020,"INCOME TAX OFFICER",6
"Central Board of Direct Taxes (Income Tax)","CCIT PANAJI",ADMR1,"ADDL COMMISSIONER OF INCOME TAX RANGE 1 MANGALURU","C R BUILDING NANDIGUDDA ROAD",ATTAVARA,MANGALURU,575001,"ADDL. CIT",4
"Central Board of Direct Taxes (Income Tax)","CCIT PANAJI",ADMR2,"ADDL COMMISSIONER OF INCOME TAX RANGE 2 MANGALURU","C R BUILDING NANDIGUDDA ROAD",ATTAVARA,MANGALURU,575001,ADDL.CIT,4
"Central Board of Direct Taxes (Income Tax)","CCIT PANAJI",ADMGR,"ADDL COMMISSIONER OF INCOME TAX MARGAO","BLESSINGS PIONEER COMMERCIAL COMPLEX","OPP DISTRICT SESSIONS COURT OLD","MARKET MARGAO",403601,ADDL.CIT,4
"Central Board of Direct Taxes (Income Tax)","Additional CIT Kurnool",ADNW1,"ITO Ward 1 Adoni","Income Tax Office","Near New RTC Bus Stand",Adoni,518301,K.P.Venkateswarlu,6
"Central Board of Direct Taxes (Income Tax)","DIRECTOR GENERAL OF INCOME TAX (ADMN.)",ADOMS,"Organisation and Management Services","Level -5  East Block-II","R.K. Puram","New Delhi",110066,"Additional Director General",3
"Central Board of Direct Taxes (Income Tax)","PCIT BANGALORE 2",ADR21,"ADDITIONAL COMMISSIONER OF INCOME TAX C 2.1","BMTC COMPLEX  80 FEET ROAD 6TH BLOCK  KORAMANGALA",BENGALURU,NA,560095,"ADDL.CIT R 2.1",5
"Central Board of Direct Taxes (Income Tax)","PCIT BANGALORE 2",ADR22,"ADDITIONAL COMMISSIONER OF INCOME TAX R 2.2","BMTC COMPLEX  80 FEET ROAD","6TH BLOCK  KORAMANGALA",BENGALURU,560095,"ADDL.CIT R 2.2",5
"Central Board of Direct Taxes (Income Tax)","PCIT BANGALORE 2",ADR23,"ADDITIONAL COMMISSIONER OF INCOME TAX R 2.2","BMTC COMPLEX  80 FEET ROAD6TH BLOCK  KORAMANGALABE",NGALURU,NA,560095,"ADDL.CIT R 2.3",5
"Central Board of Direct Taxes (Income Tax)","PCIT BANGALORE 3",ADR33,"ADDITIONAL COMMISSIONER OF INCOME TAX R 3 3","NO.59  HMT BHAVAN BALLARY ROAD GANGANAGAR  BENGALU",RU,NA,560032,"ADDL.CIT R 3 3",5
"Central Board of Direct Taxes (Income Tax)","PCIT BANGALORE 5",ADR51,"ADDITIONAL COMMISSIONER OF INCOME TAX R 5 1","BMTC COMPLEX  80 FEET ROAD6TH BLOCK  KORAMANGALABE",NGALURU,NA,560095,"ADDL.CIT R 5 1",5
"Central Board of Direct Taxes (Income Tax)","PCIT BANGALORE 5",ADR52,"ADDITIONAL COMMISSIONER OF INCOME TAX R 5 2","BMTC COMPLEX  80 FEET ROAD","6TH BLOCK  KORAMANGALA",BENGALURU,560095,"ADDL.CIT R 5 2",5
"Central Board of Direct Taxes (Income Tax)","PCIT BANGALORE 5",ADR53,"ADDITIONAL COMMISSIONER OF INCOME TAX R 5 3","6th Floor   HMT Bhawan  59  Ganganagar  Bengaluru",NA,NA,560095,"ADDL.CIT R 5 3",5
"Central Board of Direct Taxes (Income Tax)","Pr.CIT-18 Kolkata",ADR54,"ADDL CIT RANGE-54 KOLKATA",BAMBOOVILLA,"169 A J C Bose Road",Kolkata,700014,"ADDL CIT R-54 KOL",NA
"Central Board of Direct Taxes (Income Tax)","CCIT PANAJI",ADRP1,"ADDLCIT RANGE1 PANAJI","AAYAKAR BHAVAN EDC COMPLEX PATTO PLAZA","PATTO PANAJI",NA,403001,JCIT,4
"Central Board of Direct Taxes (Income Tax)","CCIT PANAJI",ADRP2,"ADDL COMMISSIONER OF INCOME TAX RANGE2","AAYAKAR BHAVAN EDC COMPLEX  PATTO PLAZA","PATTO PANAJI",NA,403001,"ADDL CIT",4
"Central Board of Direct Taxes (Income Tax)","DIRECTOR GENERAL OF INCOME TAX (HRD)",ADGHR,DIT3,"Jawaharlal Nehru Stadium","2nd Floor  Delhi",NA,110003,ADG,3
"Central Board of Direct Taxes (Income Tax)","DIRECTOR GENERAL OF INCOME TAX (ADMN.)",ADGIT,"ADG EXAM","5TH FLOOR","MAYUR BHAWAN","NEW DELHI",110001,"Addl. Director General Exam",3
"Central Board of Direct Taxes (Income Tax)","ADDL. DIRECTOR OF INCOME TAX INVESTIGATION",ADGKP,"Asstt. Director of Income Tax Inv. Varanasi","Aayakar Bhawan  Civil Lines  Gorakhpur",NA,NA,273001,"ADIT Inv. Gorakhpur",6
"Central Board of Direct Taxes (Income Tax)","DIRECTOR GENERAL OF INCOME TAX (ADMN.)",ADGRE,"ADG R TDS","Room No. 602  6th Floor","Mayur Bhawan","New Delhi",110001,"Additional Director General",3
"Central Board of Direct Taxes (Income Tax)","DIRECTOR GENERAL OF INCOME TAX (ADMN.)",ADGPR,"ADG PR PP OL","6th Floor","Mayur Bhawan","New Delhi",110001,"Additional Director General",3
"Central Board of Direct Taxes (Income Tax)","DIRECTOR GENERAL OF INCOME TAX (ADMN.)",ADGTP,"ADG TPS","5th Floor","Mayur Bhawan","New Delhi",110001,"Additional Director General",3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX MUMBAI",ADHQP,"Addl. CIT (Hq.)(Personnel), Mumbai","R.No.340  3rd floor  Aayakar Bhavan  Mumbai",NA,NA,400020,"ADDL..CIT HQ Personnel Mumbai",3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX MUMBAI",ADHQV,"Addl. CIT HQ Vig. and Tech.","R. No. 329  3rd Floor","Aayakar Bhavan",Mumbai,400020,"Addl. CIT HQ Vig. and Tech.",3
"Central Board of Direct Taxes (Income Tax)","CCIT PANAJI",ADHR1,"ADDL COMMISSIONER OF INCOME TAX RANGE 1 HUBBALLI","C R BUILDING PUNE BENGALURU ROAD",NAVANAGAR,HUBBALLI,580025,ADDLCIT,4
"Central Board of Direct Taxes (Income Tax)","CCIT PANAJI",ADHR2,"ADDL COMMISSIONER OF INCOME TAX RANGE 2 HUBBALLI","HDUDA Building  Navanagar",Hubballi,NA,580025,ADDL.CIT,4
"Central Board of Direct Taxes (Income Tax)","CCIT PANAJI",ADHR3,"ADDL COMMISSIONER OF INCOME TAX RANGE 3 HUBBALLI","C R BUILDING PUNE BENGALURU ROAD",NAVANAGAR,HUBBALLI,580025,ADDL.CIT,4
"Central Board of Direct Taxes (Income Tax)","ADDL. DIRECTOR OF INCOME TAX INV",ADHLK,"Assistant Director of Income tax Inv. Haldwani","Income tax Office","Civil Lines",Moradabad,NA,"Deputy Director of Income Tax",6
"Central Board of Direct Taxes (Income Tax)","ADDL. DIRECTOR OF INCOMETAX VISAKHAPATNAM",ADI34,"ADIT UNIT III 4","5TH FLOOR  SHIVA TOWERS",DANAVAIPETA,RAJAMAHENDRAVARAM,533103,"ASST DIRECTOR OF INCOME TAX",NA
"Central Board of Direct Taxes (Income Tax)","ADDL CIT IT 4 2",ADI42,"ITO IT 4 2 1","Room No. 1728  17th Floor","Air India Building  Nariman Point",Mumbai-400021,400021,"ITO IT 4 2 1",6
"Central Board of Direct Taxes (Income Tax)","COMMISSIONER OF INCOME TAX IT MUMBAI III",ADIT1,"ADLL.CIT IT 31 MUMBAI","ADLL.CIT (IT) 3(1)  MUMBAI","16TH FLOOR  AIR INDIA BUILDING  NARIMAN POINT",MUMBAI,400021,"ADLL.CIT IT 31 MUMBAI",5
"Central Board of Direct Taxes (Income Tax)","COMMISSIONER OF INCOME TAX IT MUMBAI III",ADIT2,"ADDL.CIT IT 3 2","16TH FLOOR  AIR INDIA BUILDING  NARIMAN POINT MUMB",AI,NA,400021,"ADDL. CIT IT 3 2 MUMBAI",5
"Central Board of Direct Taxes (Income Tax)","Director of Income Tax (Intl. Tax)-II, Mumbai",ADIT3,"Addl.DITInternational Taxation 3","Room No. 103  1st Floor","Scindia House  Ballard Estate",Mumbai-,400038,"ADDL.DIT INT.TAXATION RANGE 3",4
"Central Board of Direct Taxes (Income Tax)","Director of Income Tax (Intl. Tax)-II, Mumbai",ADIT4,"Addl.DIT International Taxaton Range 4","Room No.106  1st Floor","Scindia House  Ballard Estate",Mumbai,400038,"JCIT Int.Taxn Range 3 Mumbai",4
"Central Board of Direct Taxes (Income Tax)","Commissioner of Income Tax OSD",ADIT5,"office of CIT-OSD- ITBA",ADIT5,"AAYAKAR BHAVA 2ndFloor Vaishali",NA,201010,ADIT-S,4
"Central Board of Direct Taxes (Income Tax)","Commissioner of Income Tax OSD",ADIT6,"office of the CIT OSD ITBA","Aayakar bhavan",vaishali,NA,201010,ADIT-S,4
"Central Board of Direct Taxes (Income Tax)",JDIT.INV,ADITD,"Asst. Director of Income Tax Inv. Dhanbad","3rd Floor  Aayakar Bhawan","Luby Circular Road",Dhanbad,826001,"ADIT Inv. Dhanbad",6
"Central Board of Direct Taxes (Income Tax)","Pr.CIT 8 Kolkata",ADJ22,"Addl CIT R 22 Kol","Rafi Ahmed Kidwai Road",NA,NA,700016,"Addl CIT R 22 Kol",5
"Central Board of Direct Taxes (Income Tax)","Pr.CIT 8 Kolkata",ADJ23,"Addl CIT R 23 Hooghly","Aayakar Bhawan",NA,NA,712101,"Addl CIT R 23 Hooghly",5
"Central Board of Direct Taxes (Income Tax)","Pr.CIT 8 Kolkata",ADJ24,"Addl CIT R 24 Hooghly","Aayakar bhawan",NA,NA,712101,"Addl CIT R 24 Hooghly",5
"Central Board of Direct Taxes (Income Tax)","Pr.CIT 11 Kolkata",ADJ31,"Addl CIT R 31 Kol","Middleton Row",NA,NA,700071,"Addl CIT R 31 Kol",5
"Central Board of Direct Taxes (Income Tax)","Pr.CIT 11 Kolkata",ADJ32,"Addl CIT R 32 Kol","Middleton Row",NA,NA,700071,"Addl CIT R 32 Kol",5
"Central Board of Direct Taxes (Income Tax)","Pr.CIT 11 Kolkata",ADJ33,"Addl CIT R 33 Kol","Middleton Row",NA,NA,700071,"Raman Garg",5
"Central Board of Direct Taxes (Income Tax)","Pr.CIT 14 Kolkata",ADJ41,"Addl CIT R 41 Nad","Nadier Para",NA,NA,741101,"Addl CIT R 41 Nad",5
"Central Board of Direct Taxes (Income Tax)","Pr.CIT 14 Kolkata",ADJ42,"Addl CIT R 42 Msd",Berhampore,NA,NA,742101,"Addl CIT R 42 Msd",5
