state_name,district_name,block_name,panchayat_name,village_name,habitation_name,habitation_id,scheme_id,schemes_sources_id,source_type,sourcetype_category,location,scheme_name,sanction_year,estimated_cost,expenditure,dateof_commencement,dateof_completion,update_date
"Andhra Pradesh",Guntur,Amaravathi,Nurukullapadu,Narukullapadu,Narukullapadu,0000015351,0008205157,5055796,"Deep Tubewell","Ground Water",NA,"Providing FHTCs in Narukullapadu Habitation by utilizing existing infrastructure and Retrofitting Augmentation in Amaravathi Mandal of Guntur District (89010701200199)",2020-2021,36.48000,0.00000,"01 Feb 2021","03 May 2023",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Amaravathi,Amaravathi,Amaravathi,0000015348,0005321159,5257694,River,"Surface Water",NA,"CPWS Scheme to Vykuntapuram and other Habs",2010-2011,800.00000,720.00000,"27 Dec 2010","26 Dec 2012",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Nurukullapadu,Narukullapadu,Narukullapadu,0000015351,0005384200,5316777,"Deep Tubewell","Ground Water",NA,"PROVIDING DRINKING WATER FACILITIES TO MPUPS NARUKULLAPADU (V) OF AMARAVATHI (M)",2011-2012,0.25000,0.24848,"04 Dec 2012","12 Feb 2013",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Didugu,Didugu,Didugu,0000015344,0005384189,5317484,"Deep Tubewell","Ground Water",NA,"PROVIDING DWF TO MPUPS DIDUGU (V) OF AMARAVATHI (M)",2011-2012,0.30000,0.27000,"27 Jul 2011","27 Oct 2012",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Enikapadu,Narukullapadu,Enikapadu,0001670960,0005384911,5317604,"Deep Tubewell","Ground Water",NA,"PROVIDING DWF TO MPPS ENIKAPADU (V) OF AMARAVATHI (M)",2010-2011,0.30000,0.27000,"29 Feb 2012","29 Feb 2012",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Jupudi,Jupudi,Jupudi,0000015341,0008199379,120012605,River,"Surface Water",NA,"Providing FHTCs in Jupudi Village by utilizing existing infrastructure and Retrofitting Augmentation in Amaravathi Mandal of Guntur District (89020701200212)",2020-2021,10.68000,0.00000,"01 Jan 2021","03 May 2023",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Lingapuram,Lingapuram,Lingapuram,0000015345,0002360312,120028351,River,"Surface Water",LINGAPURAM,"PWSSCHEME TO LINGAPURAM",1997-1998,29.50000,29.50000,"15 May 1997","15 May 2000",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Jupudi,Jupudi,Jupudi,0000015341,0002360309,120030949,River,"Surface Water",JUPUDI,"CPWS S TO JUPUDI AND 4 OTHER HABS",2000-2001,150.00000,150.00000,"08 Aug 2000","31 Mar 2012",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Jupudi,Jupudi,Jupudi,0000015341,0002360309,120031000,River,"Surface Water",JUPUDI,"CPWS S TO JUPUDI AND 4 OTHER HABS",2000-2001,150.00000,150.00000,"08 Aug 2000","31 Mar 2012",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Lemalle,Karlapudi,Lemalle,0001670921,0008207808,120032542,"Deep Tubewell","Ground Water",LEMALLE,"Providing FHTCs in Lemalle Habitation by utilizing existing infrastructure and Retrofitting Augmentation in Amaravathi Mandal of Guntur District (89010701200249)",2020-2021,48.08000,0.00000,"01 Mar 2021","03 May 2023",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Attaluru,Attaluru,Attaluru,0000015340,0008207792,120054733,"Deep Tubewell","Ground Water",ATTALURU(0710509003010200),"Providing FHTCs in Attaluru Village by utilizing existing infrastructure and Retrofitting Augmentation in Amaravathi Mandal of Guntur District (89010701200743)",2020-2021,70.43000,0.00000,"01 Mar 2021","03 May 2023",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Nemalikallu,Nemalikallu,Nemalikallu,0000015358,0006468122,120055413,"Deep Tubewell","Ground Water",NEMALIKALLU(0710309017011800),"PROVIDING DRINKING WATER FACILITIES TO MPPS (RB) NEMALIKALLU (V) OF AMARAVATHI (M)",2011-2012,0.40000,0.39950,"25 Oct 2013","25 Nov 2013",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Amaravathi,Amaravathi,Amaravathi,0000015348,0002292634,1892888,"Deep Tubewell","Ground Water","NEAR KRISHNA TEMPLE",HANDPUMP,1984-1985,0.10000,0.10000,"31 Mar 1985","31 Mar 1985",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Dharanikota,Dharanikota,Dharanikota,0000015346,0002292590,1892864,"Deep Tubewell","Ground Water","K S Nageswararao House",HANDPUMP,1984-1985,0.10000,0.10000,"31 Mar 1985","31 Mar 1985",2024-06-07
