"Himachal Pradesh","14 - Immoral Traffic (Prevention) Act (Women Cases only)",5
"Himachal Pradesh","14.1 - Under ITP Section 5",3
"Himachal Pradesh","14.2 - Under ITP Section 6",1
"Himachal Pradesh","14.3 - Under ITP Section 7",0
"Himachal Pradesh","14.4 - Under ITP Section 8",0
"Himachal Pradesh","14.5 - Other Sections under ITP Act",1
"Himachal Pradesh","15 - Total Crimes against Women",1517
"Jammu & Kashmir","1 - Rape (Section 376 IPC)",331
"Jammu & Kashmir","1.1 - Custodial Rape",0
"Jammu & Kashmir","1.1.1 - Custodial_Gang Rape",0
"Jammu & Kashmir","1.1.2 - Custodial_Other Rape",0
"Jammu & Kashmir","1.2 - Rape other than Custodial",331
"Jammu & Kashmir","1.2.1 - Rape_Gang Rape",0
"Jammu & Kashmir","1.2.2 - Rape_Others",331
"Jammu & Kashmir","2 - Attempt to commit Rape (Section 376 & 511 IPC)",20
"Jammu & Kashmir","3 - Kidnapping & Abduction of Women (Section 363,364,364A, 366-369 IPC)",813
"Jammu & Kashmir","3.1 - Kidnaping & Abduction Section 363 IPC",285
"Jammu & Kashmir","3.2 - Kidnaping & Abduction in order to Murder Section 364 IPC",1
"Jammu & Kashmir","3.3 - Kidnapping for Ransom Section 364A",0
"Jammu & Kashmir","3.4 - Kidnapping & Abduction of Women to compel her for marriage",236
"Jammu & Kashmir","3.5 - Kidnapping & Abduction of Women-Other",291
"Jammu & Kashmir","4 - Dowry Deaths (Section 304-B IPC)",5
"Jammu & Kashmir","5 - Assault on Women with intent to outrage her Modesty_Total (Section 354 IPC)",1421
"Jammu & Kashmir","5.1 - Sexual Harassment",242
"Jammu & Kashmir","5.2 - Assault on women with intent to Disrobe",123
"Jammu & Kashmir","5.3 - Voyeurism",0
"Jammu & Kashmir","5.4 - Stalking",1
"Jammu & Kashmir","5.5 - Others",1055
"Jammu & Kashmir","6 - Insult to the Modesty of Women_Total (Section 509 IPC)",237
"Jammu & Kashmir","6.1 - At Office premises",0
"Jammu & Kashmir","6.2 - Other places related to work",8
"Jammu & Kashmir","6.3 - In Public Transport system",6
"Jammu & Kashmir","6.4 - in Other Places",223
"Jammu & Kashmir","7 - Cruelty by Husband or his Relatives (Section 498A)",467
"Jammu & Kashmir","8 - Importation of Girls from Foreign Country (Section 366B IPC)",0
"Jammu & Kashmir","9 - Abetment of Suicides of Women u/s 306 IPC",25
"Jammu & Kashmir","10 - Dowry Prohibition Act, 1961",1
"Jammu & Kashmir","11 - Indecent Representation of Women (Prohibition) Act, 1986",0
"Jammu & Kashmir","12 - Commission of Sati Prevention Act 1987",0
"Jammu & Kashmir","13 - Protection of Women from Domestic Violence Act, 2005",0
"Jammu & Kashmir","14 - Immoral Traffic (Prevention) Act (Women Cases only)",1
"Jammu & Kashmir","14.1 - Under ITP Section 5",1
"Jammu & Kashmir","14.2 - Under ITP Section 6",0
"Jammu & Kashmir","14.3 - Under ITP Section 7",0
"Jammu & Kashmir","14.4 - Under ITP Section 8",0
"Jammu & Kashmir","14.5 - Other Sections under ITP Act",0
"Jammu & Kashmir","15 - Total Crimes against Women",3321
Jharkhand,"1 - Rape (Section 376 IPC)",1050
Jharkhand,"1.1 - Custodial Rape",0
Jharkhand,"1.1.1 - Custodial_Gang Rape",0
Jharkhand,"1.1.2 - Custodial_Other Rape",0
Jharkhand,"1.2 - Rape other than Custodial",1050
Jharkhand,"1.2.1 - Rape_Gang Rape",52
Jharkhand,"1.2.2 - Rape_Others",998
Jharkhand,"2 - Attempt to commit Rape (Section 376 & 511 IPC)",208
Jharkhand,"3 - Kidnapping & Abduction of Women (Section 363,364,364A, 366-369 IPC)",885
Jharkhand,"3.1 - Kidnaping & Abduction Section 363 IPC",26
