"Name of Institution","Name of Faculty","Name of Department",Level,Programme,"Name of Discipline",Intake,"Examination System"
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,"Under Graduate","B.A.(Hons)-Bachelor of Arts (Honors)",Persian,15,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,"Under Graduate","B.A.(Hons)-Bachelor of Arts (Honors)",Philosophy,20,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,"Under Graduate","B.A.(Hons)-Bachelor of Arts (Honors)",Sanskrit,15,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,"Under Graduate","B.A.(Hons)-Bachelor of Arts (Honors)",Urdu,40,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,"Under Graduate","B.F.A.-Bachelor of Fine Arts","Fine Arts",15,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Commerce",NA,Ph.D.,"Ph.D.-Doctor of Philosophy",Commerce,86,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Commerce",NA,"Post Graduate","M.Com.-Master of Commerce",Commerce,60,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Commerce",NA,"Under Graduate","B.Com.-Bachelor of Commerce",Commerce,180,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Engineering and Technology",NA,Diploma,Diploma-Diploma,"Architectural Assistantship",20,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Engineering and Technology",NA,Diploma,Diploma-Diploma,"Civil Engineering",90,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Engineering and Technology",NA,Diploma,Diploma-Diploma,"Computer Engineering",30,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Engineering and Technology",NA,Diploma,Diploma-Diploma,"Costume Design and Garment Technology",25,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Engineering and Technology",NA,Diploma,Diploma-Diploma,"Electrical Engineering",30,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Engineering and Technology",NA,Diploma,Diploma-Diploma,"Electronics Engineering",30,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Engineering and Technology",NA,Diploma,Diploma-Diploma,"Food Technology",25,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Engineering and Technology",NA,Diploma,Diploma-Diploma,"Information Technology",15,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Engineering and Technology",NA,Diploma,Diploma-Diploma,"Instrumentation and Control",30,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Engineering and Technology",NA,Diploma,Diploma-Diploma,"Leather and Footwear Technology",30,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Engineering and Technology",NA,Diploma,Diploma-Diploma,"Mechanical Engineering",60,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Engineering and Technology",NA,Diploma,Diploma-Diploma,"Mechanical - Production Engineering",25,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Engineering and Technology",NA,Diploma,Diploma-Diploma,"Mechanical Referigeration and Airconditioning",20,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Engineering and Technology",NA,Diploma,Diploma-Diploma,"Multimedia System",25,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Engineering and Technology",NA,Diploma,Diploma-Diploma,"Plastic Technology",20,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Engineering and Technology",NA,Diploma,Diploma-Diploma,"Secretarial Practice",25,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Engineering and Technology",NA,M.Phil.,"M.Phil.-Master of Philosophy","Applied Chemistry",3,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Engineering and Technology",NA,M.Phil.,"M.Phil.-Master of Philosophy","Applied Mathematics",0,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Engineering and Technology",NA,M.Phil.,"M.Phil.-Master of Philosophy","Applied Physics",0,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Engineering and Technology",NA,"PG Diploma","PG Diploma-Post Graduate Diploma","Applied Physics (Nanotechnology)",20,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Engineering and Technology",NA,"PG Diploma","PG Diploma-Post Graduate Diploma",Nanotechnology,20,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Engineering and Technology",NA,Ph.D.,"Ph.D.-Doctor of Philosophy","1. Heat Transfer, Absorption System 2. I.C. Engines and Combustion Engineering 3. Solar Thermal Systems 4. Solar Radiation Modelling 5. Fluid Mechanics/Turbulence/Heat Transfer 6. Ergonomics 7. Solid Mechanics 8. Structural Dynamics and Control 9. Smart Com",14,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Engineering and Technology",NA,Ph.D.,"Ph.D.-Doctor of Philosophy","Applied Chemistry",21,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Engineering and Technology",NA,Ph.D.,"Ph.D.-Doctor of Philosophy","Applied Mathematics",11,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Engineering and Technology",NA,Ph.D.,"Ph.D.-Doctor of Philosophy","Applied Physics",17,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Engineering and Technology",NA,Ph.D.,"Ph.D.-Doctor of Philosophy","Computer Engineering (Computer Networks, AI and Soft Computing, Parallel Computing, Multimedia Technologies, Web mining and searching",5,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Engineering and Technology",NA,Ph.D.,"Ph.D.-Doctor of Philosophy","Electronics Circuits and Systems, Communication Systems, Multimedia signal Processing",14,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Engineering and Technology",NA,Ph.D.,"Ph.D.-Doctor of Philosophy","Environmental Engineering",2,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Engineering and Technology",NA,Ph.D.,"Ph.D.-Doctor of Philosophy","Geo-Technical Engineering",2,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Engineering and Technology",NA,Ph.D.,"Ph.D.-Doctor of Philosophy","Hydraulic Structure",2,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Engineering and Technology",NA,Ph.D.,"Ph.D.-Doctor of Philosophy","Petroleum Studies",0,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Engineering and Technology",NA,Ph.D.,"Ph.D.-Doctor of Philosophy","Power System, Power Electronics, Electric Drives, Instrumentation and Control, Control Engg., High Voltage Engg., Electrical Machines, Fuzzy Control and Applications, Non Conventional Energy System.",5,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Engineering and Technology",NA,Ph.D.,"Ph.D.-Doctor of Philosophy","Structural Engineering",4,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Engineering and Technology",NA,"Post Graduate","M.Tech. -Master of Technology","Applied Physics (Nanotechnology)",15,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Engineering and Technology",NA,"Post Graduate","M.Tech. -Master of Technology","Chemical Engineering",20,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Engineering and Technology",NA,"Post Graduate","M.Tech. -Master of Technology","Communication and Information Systems",8,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Engineering and Technology",NA,"Post Graduate","M.Tech. -Master of Technology","Computer Science and Engineering (Software Engg.)",16,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Engineering and Technology",NA,"Post Graduate","M.Tech. -Master of Technology","Electronic Circuits and Systems Design",8,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Engineering and Technology",NA,"Post Graduate","M.Tech. -Master of Technology","Environmental Engineering",16,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Engineering and Technology",NA,"Post Graduate","M.Tech. -Master of Technology","Hydraulic Structures",10,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Engineering and Technology",NA,"Post Graduate","M.Tech. -Master of Technology","(i) Thermal Engineering (ii) Industrial and Production Engineering (iii) Machine Design",42,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Engineering and Technology",NA,"Post Graduate","M.Tech. -Master of Technology","Petroleum Processing and Petrochemical Engineering",16,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Engineering and Technology",NA,"Post Graduate","M.Tech. -Master of Technology","Power Sys. and Drives (ii) Inst. Control (iii) High Voltage Engg",44,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Engineering and Technology",NA,"Post Graduate","M.Tech. -Master of Technology","Structural Engineering",16,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Engineering and Technology",NA,"Under Graduate","B.Architecture-Bachelor of Architecture",Architecture,22,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Engineering and Technology",NA,"Under Graduate","B.E.-Bachelor of Engineering","Civil Engineering",50,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Engineering and Technology",NA,"Under Graduate","B.E.-Bachelor of Engineering","Electrical Engineering",50,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Engineering and Technology",NA,"Under Graduate","B.E.-Bachelor of Engineering","Mechanical Engineering",50,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Engineering and Technology",NA,"Under Graduate","B.Tech.-Bachelor of Technology","Chemical Engineering",30,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Engineering and Technology",NA,"Under Graduate","B.Tech.-Bachelor of Technology","Civil Engineerig",60,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Engineering and Technology",NA,"Under Graduate","B.Tech.-Bachelor of Technology","Computer Engineering",50,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Engineering and Technology",NA,"Under Graduate","B.Tech.-Bachelor of Technology","Electrical Engineering",60,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Engineering and Technology",NA,"Under Graduate","B.Tech.-Bachelor of Technology","Electronics Engineering",60,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Engineering and Technology",NA,"Under Graduate","B.Tech.-Bachelor of Technology","Mechanical Engineering",90,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Engineering and Technology",NA,"Under Graduate","B.Tech.-Bachelor of Technology","Petrochemical Engineering",25,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Law",NA,"Post Graduate","L.L.M.-Master of Law or Laws",Law,25,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Law",NA,"Under Graduate","L.L.B.-Bachelor of Law or Laws",Law,100,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Life Science",NA,Diploma,Diploma-Diploma,"Life science",10,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Life Science",NA,M.Phil.,"M.Phil.-Master of Philosophy","Life Science (Botany)",8,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Life Science",NA,M.Phil.,"M.Phil.-Master of Philosophy",Museology,0,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Life Science",NA,Ph.D.,"Ph.D.-Doctor of Philosophy","Life Science (Biochemistry",36,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Life Science",NA,Ph.D.,"Ph.D.-Doctor of Philosophy","Life Science (Botany)",68,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Life Science",NA,Ph.D.,"Ph.D.-Doctor of Philosophy",Museology,4,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Life Science",NA,Ph.D.,"Ph.D.-Doctor of Philosophy","Wildlife Science",4,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Life Science",NA,Ph.D.,"Ph.D.-Doctor of Philosophy",Zoology,69,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Life Science",NA,"Post Graduate","M.Sc.-Master of Science","Life Science (Biochemistry",18,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Life Science",NA,"Post Graduate","M.Sc.-Master of Science","Life Science (Botany)",35,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Life Science",NA,"Post Graduate","M.Sc.-Master of Science",Museology,10,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Life Science",NA,"Post Graduate","M.Sc.-Master of Science","Wildlife Science",10,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Life Science",NA,"Post Graduate","M.Sc.-Master of Science",Zoology,35,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Life Science",NA,"Under Graduate","B.Sc.(Hons)-Bachelor of Science (Honors)","Life Science (Biochemistry",30,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Life Science",NA,"Under Graduate","B.Sc.(Hons)-Bachelor of Science (Honors)","Life Science (Botany)",40,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Life Science",NA,"Under Graduate","B.Sc.(Hons)-Bachelor of Science (Honors)",Zoology,40,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Management Studies and Research",NA,"PG Diploma","PG Diploma-Post Graduate Diploma","Islamic Banking and Finance",20,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Management Studies and Research",NA,"PG Diploma","PG Diploma-Post Graduate Diploma","Marketing Management",20,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Management Studies and Research",NA,"Post Graduate","M.B.A.- Master of Business Administration","Business Administration",60,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Management Studies and Research",NA,"Post Graduate","M.B.A.- Master of Business Administration","Business Administration (International Business)",20,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Medicine",NA,Diploma,Diploma-Diploma,Microbiology,10,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Medicine",NA,Diploma,Diploma-Diploma,Paediatrics,12,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Medicine",NA,Diploma,Diploma-Diploma,Radiodiagnosis,10,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Medicine",NA,Diploma,Diploma-Diploma,"Radio Therapy",2,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Medicine",NA,Diploma,Diploma-Diploma,"Surgical Endoscopy",6,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Medicine",NA,"PG Diploma","PG Diploma-Post Graduate Diploma",Anaesthesiology,10,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Medicine",NA,Ph.D.,"Ph.D.-Doctor of Philosophy",Anatomy,0,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Medicine",NA,Ph.D.,"Ph.D.-Doctor of Philosophy",Biochemistry,0,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Medicine",NA,Ph.D.,"Ph.D.-Doctor of Philosophy",Microbiology,0,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Medicine",NA,Ph.D.,"Ph.D.-Doctor of Philosophy",Pharmacology,4,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Medicine",NA,Ph.D.,"Ph.D.-Doctor of Philosophy",Physiology,2,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Medicine",NA,Ph.D.,"Ph.D.-Doctor of Philosophy","Plastic and Reconstructive Surgery",4,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Medicine",NA,Ph.D.,"Ph.D.-Doctor of Philosophy",Psychiatry,2,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Medicine",NA,"Post Graduate","M.D.-Doctor of Medicine",Anaesthesiology,7,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Medicine",NA,"Post Graduate","M.D.-Doctor of Medicine",Anatomy,3,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Medicine",NA,"Post Graduate","M.D.-Doctor of Medicine",Biochemistry,2,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Medicine",NA,"Post Graduate","M.D.-Doctor of Medicine","Community Medicine",6,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Medicine",NA,"Post Graduate","M.D.-Doctor of Medicine","Forensic Medicine",1,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Medicine",NA,"Post Graduate","M.D.-Doctor of Medicine","General Medicine",12,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Medicine",NA,"Post Graduate","M.D.-Doctor of Medicine",Microbiology,5,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Medicine",NA,"Post Graduate","M.D.-Doctor of Medicine",Paediatrics,6,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Medicine",NA,"Post Graduate","M.D.-Doctor of Medicine",Pathology,9,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Medicine",NA,"Post Graduate","M.D.-Doctor of Medicine",Pharmacology,4,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Medicine",NA,"Post Graduate","M.D.-Doctor of Medicine",Physiology,5,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Medicine",NA,"Post Graduate","M.D.-Doctor of Medicine",Psychiatry,1,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Medicine",NA,"Post Graduate","M.D.-Doctor of Medicine",Radiodiagnosis,10,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Medicine",NA,"Post Graduate","M.D.-Doctor of Medicine","Radio Therapy",1,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Medicine",NA,"Post Graduate","M.D.-Doctor of Medicine","TB and Respiratory Diseases",2,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Medicine",NA,"Post Graduate","M.D.S.-Master of Dental Surgery",Dental,6,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Medicine",NA,"Post Graduate","M.D.S.-Master of Dental Surgery","Oral and Maxillofacial Surgery",2,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Medicine",NA,"Post Graduate","M.D.S.-Master of Dental Surgery","Orthodontics and Dentofacial Orthopedics",2,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Medicine",NA,"Post Graduate","M.D.S.-Master of Dental Surgery",Periodontics,2,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Medicine",NA,"Post Graduate","M.S.-Master of Surgery","Cardiothoracic Surgery",10,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Medicine",NA,"Post Graduate","M.S.-Master of Surgery","General Surgery",14,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Medicine",NA,"Post Graduate","M.S.-Master of Surgery","Obstetrics and Gynaecology",9,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Medicine",NA,"Post Graduate","M.S.-Master of Surgery",Ophthalmology,12,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Medicine",NA,"Post Graduate","M.S.-Master of Surgery","Orthopaedic Surgery",4,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Medicine",NA,"Post Graduate","M.S.-Master of Surgery","Oto-rhino-laryngology (E.N.T.)",3,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Medicine",NA,"Under Graduate","B.D.S.-Bachelor of Dental Surgery",Dental,35,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Medicine",NA,"Under Graduate","M.B.B.S.-Bachelor of Medicine and Bachelor of Surgery","Medicine (J.N.M.College",145,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Science",NA,M.Phil.,"M.Phil.-Master of Philosophy","Chemistry (1. Analytical Chemistry 2. Inorganic Chemistry 3. Organic Chemistry 4. Physical Chemistry",6,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Science",NA,M.Phil.,"M.Phil.-Master of Philosophy",Geology,4,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Science",NA,M.Phil.,"M.Phil.-Master of Philosophy","Operation Research and Statistics",1,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Science",NA,M.Phil.,"M.Phil.-Master of Philosophy",Physics,2,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Science",NA,Ph.D.,"Ph.D.-Doctor of Philosophy","Chemistry (1. Analytical Chemistry 2. Inorganic Chemistry 3. Organic Chemistry 4. Physical Chemistry",70,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Science",NA,Ph.D.,"Ph.D.-Doctor of Philosophy","Computer Science",15,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Science",NA,Ph.D.,"Ph.D.-Doctor of Philosophy",Geography,59,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Science",NA,Ph.D.,"Ph.D.-Doctor of Philosophy",Geology,39,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Science",NA,Ph.D.,"Ph.D.-Doctor of Philosophy",Mathematics,37,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Science",NA,Ph.D.,"Ph.D.-Doctor of Philosophy","Operation Research and Statistics",30,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Science",NA,Ph.D.,"Ph.D.-Doctor of Philosophy",Physics,33,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Science",NA,"Post Graduate","M.C.A. -Master of Computer Applications","Computer Science and Applications",60,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Science",NA,"Post Graduate","M.Sc.-Master of Science","Applied Geology",40,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Science",NA,"Post Graduate","M.Sc.-Master of Science",Chemistry,60,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Science",NA,"Post Graduate","M.Sc.-Master of Science",Geography,45,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Science",NA,"Post Graduate","M.Sc.-Master of Science","Industrial Chemistry",25,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Science",NA,"Post Graduate","M.Sc.-Master of Science",Mathematics,60,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Science",NA,"Post Graduate","M.Sc.-Master of Science","Operation Research",15,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Science",NA,"Post Graduate","M.Sc.-Master of Science",Physics,50,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Science",NA,"Post Graduate","M.Sc.-Master of Science",Statistics,30,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Science",NA,"Under Graduate","B.C.A.-Bachelor of Computer Applications","Computer Science and Applications",65,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Science",NA,"Under Graduate","B.Sc.(Hons)-Bachelor of Science (Honors)",Chemistry,120,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Science",NA,"Under Graduate","B.Sc.(Hons)-Bachelor of Science (Honors)",Geography,145,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Science",NA,"Under Graduate","B.Sc.(Hons)-Bachelor of Science (Honors)",Geology,100,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Science",NA,"Under Graduate","B.Sc.(Hons)-Bachelor of Science (Honors)","Industrial Chemistry",25,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Science",NA,"Under Graduate","B.Sc.(Hons)-Bachelor of Science (Honors)",Mathematics,120,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Science",NA,"Under Graduate","B.Sc.(Hons)-Bachelor of Science (Honors)",Physics,120,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Science",NA,"Under Graduate","B.Sc.(Hons)-Bachelor of Science (Honors)",Statistics,60,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Social Science",NA,Diploma,Diploma-Diploma,Education,20,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Social Science",NA,M.Phil.,"M.Phil.-Master of Philosophy",Economics,4,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Social Science",NA,M.Phil.,"M.Phil.-Master of Philosophy","Library and Information Science",4,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Social Science",NA,M.Phil.,"M.Phil.-Master of Philosophy","Mass Communication",1,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Social Science",NA,Ph.D.,"Ph.D.-Doctor of Philosophy",Economics,63,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Social Science",NA,Ph.D.,"Ph.D.-Doctor of Philosophy","Library and Information Science",63,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Social Science",NA,Ph.D.,"Ph.D.-Doctor of Philosophy","Mass Communication",13,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Social Science",NA,Ph.D.,"Ph.D.-Doctor of Philosophy","Physical Education",23,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Social Science",NA,"Post Graduate","M.A.-Master of Arts",Economics,65,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Social Science",NA,"Post Graduate","M.A.-Master of Arts",Education,15,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Social Science",NA,"Post Graduate","M.A.-Master of Arts",History,40,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Social Science",NA,"Post Graduate","M.A.-Master of Arts","Mass Communication",20,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Social Science",NA,"Post Graduate","M.A.-Master of Arts","Political Science,Publice Administration and Human Rights",75,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Social Science",NA,"Post Graduate","M.A.-Master of Arts",Psychology,40,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Social Science",NA,"Post Graduate","M.A.-Master of Arts",Sociology,70,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Social Science",NA,"Post Graduate","M.A.-Master of Arts","West Asian Studies",5,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Social Science",NA,"Post Graduate","M.Ed. -Master of Education",Education,35,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Social Science",NA,"Post Graduate","M.Lib.Sc. -Master of Library Science","Library and Information Science",25,Semester
