"Sl. No.",State/UT,District,Grade,"District score 2021-22 - Overall","District score 2021-22 - Category - 1.Outcome (290)","District score 2021-22 - Category - 2. ECT (90)","District score 2021-22 - Category - 3. IF&SE (51)","District score 2021-22 - Category - 4.SS&CP (35)","District score 2021-22 - Category - 5. DL (50)","District score 2021-22 - Category - 6. GP (84)"
366,"Madhya Pradesh",Guna,Prachesta-1,312,122,78,32,30,4,45
367,"Madhya Pradesh",Khandwa,Prachesta-1,311,116,73,31,30,6,55
368,"Madhya Pradesh",Burhanpur,Prachesta-1,311,102,80,33,35,8,53
369,"Madhya Pradesh",Ashoknagar,Prachesta-1,311,99,79,31,31,7,63
370,"Madhya Pradesh","Agar Malwa",Prachesta-1,309,110,79,32,30,6,52
371,"Madhya Pradesh",Harda,Prachesta-1,301,100,80,29,35,8,49
372,"Madhya Pradesh",Ratlam,Prachesta-1,301,92,81,38,35,6,49
373,"Madhya Pradesh",Umaria,Prachesta-2,299,103,79,32,31,6,48
374,"Madhya Pradesh",Anuppur,Prachesta-2,296,106,79,31,30,5,46
375,"Madhya Pradesh",Barwani,Prachesta-2,293,96,79,32,30,4,51
376,"Madhya Pradesh",Alirajpur,Prachesta-2,279,78,79,32,35,5,49
377,"Madhya Pradesh",Jhabua,Prachesta-2,260,70,78,31,30,5,46
378,Maharashtra,Satara,Ati-Uttam,430,171,86,46,35,25,68
379,Maharashtra,"Mumbai II",Ati-Uttam,424,172,87,34,35,29,67
380,Maharashtra,Kolhapur,Ati-Uttam,422,180,84,40,35,23,60
381,Maharashtra,Nashik,Ati-Uttam,422,173,87,45,34,21,62
382,Maharashtra,Solapur,Uttam,419,178,87,34,35,25,59
383,Maharashtra,"Mumbai (Suburban)",Uttam,415,138,88,46,35,30,78
384,Maharashtra,"Aurangabad (Maharashtra)",Uttam,411,166,87,45,35,23,56
385,Maharashtra,Ratnagiri,Uttam,410,168,84,43,35,21,58
386,Maharashtra,Sangli,Uttam,409,169,86,37,35,22,60
387,Maharashtra,Sindhudurg,Uttam,408,181,82,36,35,18,56
388,Maharashtra,Jalgaon,Uttam,408,163,85,44,34,26,56
389,Maharashtra,Bid,Uttam,408,161,85,45,35,23,59
390,Maharashtra,Pune,Uttam,407,162,83,43,35,23,61
391,Maharashtra,Ahmadnagar,Uttam,407,173,84,31,35,24,60
392,Maharashtra,Thane,Uttam,405,158,86,35,35,26,66
393,Maharashtra,Nandurbar,Uttam,405,162,85,46,35,20,58
394,Maharashtra,"Raigarh (Maharashtra)",Uttam,405,169,83,44,35,20,54
395,Maharashtra,Nanded,Uttam,403,154,85,45,35,23,60
396,Maharashtra,Washim,Uttam,403,169,82,39,35,20,58
397,Maharashtra,Amravati,Uttam,402,155,86,45,35,22,59
398,Maharashtra,Palghar,Uttam,402,156,84,45,35,22,61
399,Maharashtra,Osmanabad,Uttam,401,164,84,43,35,22,53
400,Maharashtra,Chandrapur,Uttam,401,150,85,47,35,22,61
401,Maharashtra,Gondiya,Uttam,401,158,84,48,33,20,59
402,Maharashtra,Dhule,Uttam,399,161,85,44,35,19,55
403,Maharashtra,Parbhani,Uttam,397,154,80,44,32,21,66
404,Maharashtra,Wardha,Uttam,395,150,85,45,35,22,58
405,Maharashtra,Akola,Uttam,393,155,84,40,35,22,58
406,Maharashtra,Bhandara,Uttam,393,150,84,46,35,20,59
407,Maharashtra,Jalna,Uttam,393,151,82,43,35,21,61
408,Maharashtra,Latur,Uttam,393,153,84,43,35,20,59
409,Maharashtra,Yavatmal,Uttam,392,147,85,45,34,18,63
410,Maharashtra,Hingoli,Uttam,390,164,85,26,35,23,58
411,Maharashtra,Buldana,Uttam,382,144,86,36,35,20,61
412,Maharashtra,Nagpur,Uttam,379,142,84,40,35,20,58
413,Maharashtra,Gadchiroli,Uttam,370,135,83,45,35,15,57
414,Manipur,"Imphal West",Prachesta-1,343,161,70,35,12,11,55
415,Manipur,Kakching,Prachesta-1,326,134,67,38,17,15,53
416,Manipur,"Imphal East",Prachesta-1,321,145,65,37,11,10,53
417,Manipur,Churachandpur,Prachesta-2,293,132,59,38,7,5,51
418,Manipur,Senapati,Prachesta-2,288,125,57,35,12,6,53
419,Manipur,Jiribam,Prachesta-2,282,114,59,35,18,7,49
420,Manipur,Thoubal,Prachesta-2,277,136,46,36,9,5,44
421,Manipur,Bishnupur,Prachesta-2,262,112,45,36,6,11,52
422,Manipur,Kangpokpi,Prachesta-2,258,123,53,35,9,5,34
423,Manipur,Kamjong,Prachesta-2,257,104,64,32,18,3,35
424,Manipur,Tamenglong,Prachesta-2,254,112,51,36,15,7,34
425,Manipur,Ukhrul,Prachesta-2,254,113,50,35,11,8,37
426,Manipur,Chandel,Prachesta-2,254,111,54,35,10,3,42
427,Manipur,Noney,Prachesta-2,253,101,47,37,11,6,52
428,Manipur,Tengnoupal,Prachesta-2,247,111,49,34,12,3,37
429,Manipur,Pherzawl,Prachesta-2,245,86,60,32,17,3,47
430,Meghalaya,"East Khasi Hills",Prachesta-2,282,123,49,34,10,7,59
431,Meghalaya,"West Khasi Hills",Prachesta-2,263,104,63,26,13,6,52
432,Meghalaya,"West Jaintia Hills",Prachesta-2,251,96,55,30,12,3,56
433,Meghalaya,"South West Garo Hills",Prachesta-2,243,107,41,19,12,4,60
434,Meghalaya,"South West Khasi Hills",Prachesta-3,235,86,44,32,13,2,57
435,Meghalaya,"Ri Bhoi",Prachesta-3,232,93,42,30,17,4,46
436,Meghalaya,"East Garo Hills",Prachesta-3,221,85,41,28,19,4,45
437,Meghalaya,"East Jaintia Hills",Prachesta-3,213,91,27,30,6,5,54
438,Meghalaya,"West Garo Hills",Prachesta-3,210,87,52,22,10,2,36
439,Meghalaya,"South Garo Hills",Prachesta-3,202,91,24,22,9,5,51
440,Meghalaya,"North Garo Hills",Prachesta-3,196,84,35,20,9,3,45
441,Mizoram,Saiha,Prachesta-1,318,126,67,40,21,3,61
442,Mizoram,Serchhip,Prachesta-1,311,124,65,43,17,5,58
443,Mizoram,Saitual,Prachesta-2,297,115,66,32,27,7,50
444,Mizoram,Hnahthial,Prachesta-2,283,121,64,35,22,4,37
445,Mizoram,Kolasib,Prachesta-2,281,103,77,38,17,1,45
446,Mizoram,Khawzawl,Prachesta-2,270,115,58,30,19,11,37
447,Mizoram,Lunglei,Prachesta-2,269,102,70,31,19,2,45
448,Mizoram,Champhai,Prachesta-2,267,109,54,35,10,4,55
449,Mizoram,Mamit,Prachesta-2,265,97,76,37,16,4,36
450,Mizoram,Aizawl,Prachesta-2,264,133,49,25,9,3,45
451,Mizoram,Lawngtlai,Prachesta-2,258,107,55,33,7,1,54
452,Nagaland,Kohima,Prachesta-1,311,144,63,36,19,19,31
453,Nagaland,Mokokchung,Prachesta-1,301,130,69,40,13,14,35
454,Nagaland,Dimapur,Prachesta-2,296,121,68,40,16,15,36
455,Nagaland,Peren,Prachesta-2,293,109,70,37,26,16,35
456,Nagaland,Wokha,Prachesta-2,289,116,65,36,26,12,34
457,Nagaland,Kiphire,Prachesta-2,283,112,65,32,8,14,52
458,Nagaland,Phek,Prachesta-2,276,117,63,36,15,10,35
459,Nagaland,Zunheboto,Prachesta-2,274,122,65,31,14,8,34
460,Nagaland,Longleng,Prachesta-2,270,102,56,35,18,5,53
461,Nagaland,Tuensang,Prachesta-2,269,113,58,39,25,5,30
462,Nagaland,Mon,Prachesta-2,251,95,61,33,19,13,29
463,Odisha,Khurdha,Ati-Uttam,425,176,86,47,34,15,66
464,Odisha,Cuttack,Uttam,411,178,85,45,35,15,53
465,Odisha,Nuapada,Uttam,407,179,83,45,32,6,61
466,Odisha,Nayagarh,Uttam,406,166,86,43,33,14,64
467,Odisha,Bhadrak,Uttam,403,160,86,45,34,13,66
468,Odisha,Jagatsinghpur,Uttam,398,180,81,45,33,7,53
469,Odisha,Jajpur,Uttam,396,158,85,44,32,14,62
470,Odisha,Sundergarh,Uttam,396,150,86,48,35,15,62
471,Odisha,Sambalpur,Uttam,396,156,83,48,35,10,63
472,Odisha,Angul,Uttam,395,166,85,45,30,8,61
473,Odisha,Puri,Uttam,390,160,84,42,33,9,63
474,Odisha,Balasore,Uttam,390,159,82,45,32,7,63
475,Odisha,Baragarh,Uttam,389,158,84,42,33,12,60
476,Odisha,Jharsuguda,Uttam,386,150,86,44,34,11,61
477,Odisha,Dhenkanal,Uttam,386,150,85,47,35,8,61
478,Odisha,Kendrapara,Uttam,384,141,86,44,34,13,66
479,Odisha,Ganjam,Uttam,383,158,83,45,26,14,57
480,Odisha,Kalahandi,Uttam,383,168,83,42,26,5,60
481,Odisha,Malkangiri,Uttam,378,145,85,45,35,4,64
482,Odisha,Bolangir,Uttam,374,144,82,43,35,6,63
483,Odisha,Sonepur,Uttam,369,141,83,43,35,7,61
484,Odisha,Keonjhar,Uttam,369,140,82,45,31,6,65
485,Odisha,Koraput,Uttam,366,139,80,45,28,4,70
486,Odisha,Deogarh,Uttam,363,135,80,45,31,7,65
487,Odisha,Gajapati,Uttam,360,152,80,40,28,4,56
488,Odisha,Kandhamal,Prachesta-1,357,125,84,45,34,6,64
489,Odisha,Nabarangpur,Prachesta-1,353,132,81,42,30,4,63
490,Odisha,Boudh,Prachesta-1,347,120,83,43,30,9,61
491,Odisha,Rayagada,Prachesta-1,336,111,79,45,34,5,63
492,Odisha,Mayurbhanj,Prachesta-1,328,113,82,41,27,9,57
493,Puducherry,Pondicherry,Ati-Uttam,439,164,85,44,35,30,81
494,Puducherry,Mahe,Ati-Uttam,429,148,86,45,35,33,82
495,Puducherry,Yanam,Uttam,406,131,87,44,35,28,81
496,Puducherry,Karaikal,Uttam,399,125,85,44,35,29,81
497,Punjab,Barnala,Ati-Uttam,468,212,85,40,28,31,72
498,Punjab,Firozpur,Ati-Uttam,457,203,87,42,28,28,69
499,Punjab,Muktsar,Ati-Uttam,452,191,83,43,34,30,72
500,Punjab,"Taran Taran",Ati-Uttam,446,183,87,42,33,26,75
501,Punjab,Bathinda,Ati-Uttam,443,181,83,42,34,31,72
502,Punjab,Gurdaspur,Ati-Uttam,439,174,87,44,32,30,73
503,Punjab,Moga,Ati-Uttam,439,186,84,44,26,31,69
504,Punjab,Amritsar,Ati-Uttam,438,185,85,42,27,30,69
505,Punjab,Malerkotla,Ati-Uttam,436,172,88,44,35,30,67
506,Punjab,Mansa,Ati-Uttam,434,185,84,38,23,32,73
507,Punjab,Patiala,Ati-Uttam,434,193,83,46,25,30,56
508,Punjab,Nawanshahr,Ati-Uttam,433,179,87,41,26,31,70
509,Punjab,"Fatehgarh Sahib",Ati-Uttam,431,173,86,47,25,31,69
510,Punjab,Sangrur,Ati-Uttam,429,167,85,46,29,32,69
511,Punjab,Pathankot,Ati-Uttam,428,172,82,41,30,33,70
512,Punjab,Faridkot,Ati-Uttam,427,177,84,46,22,31,67
513,Punjab,Kapurthala,Ati-Uttam,424,169,87,37,27,34,71
514,Punjab,Fazilka,Ati-Uttam,422,164,86,47,24,29,72
515,Punjab,Mohali,Uttam,417,177,81,32,25,32,69
516,Punjab,Ludhiana,Uttam,414,176,83,36,19,31,68
517,Punjab,Jalandhar,Uttam,409,159,87,46,24,30,62
518,Punjab,Hoshiarpur,Uttam,389,162,64,44,19,30,69
519,Punjab,Rupnagar,Uttam,379,162,58,39,22,29,68
520,Rajasthan,Dhaulpur,Ati-Uttam,444,212,83,34,33,19,62
521,Rajasthan,Jaipur,Ati-Uttam,440,190,86,44,34,22,64
522,Rajasthan,Alwar,Ati-Uttam,431,186,85,42,35,20,62
523,Rajasthan,Bundi,Ati-Uttam,427,182,85,45,34,16,64
524,Rajasthan,Ganganagar,Ati-Uttam,421,171,86,43,35,22,63
525,Rajasthan,Jhunjhunu,Uttam,419,174,87,43,35,18,63
526,Rajasthan,"Pratapgarh (Raj.)",Uttam,419,185,84,36,35,19,60
527,Rajasthan,Ajmer,Uttam,416,181,86,37,35,22,54
528,Rajasthan,Chittaurgarh,Uttam,416,167,86,44,35,21,63
529,Rajasthan,Rajsamand,Uttam,413,171,86,42,30,21,63
530,Rajasthan,Tonk,Uttam,407,172,82,36,35,19,62
531,Rajasthan,Barmer,Uttam,405,171,85,38,35,15,61
532,Rajasthan,Jodhpur,Uttam,403,158,86,44,35,17,63
533,Rajasthan,Sikar,Uttam,401,163,86,31,35,20,64
534,Rajasthan,Nagaur,Uttam,400,178,83,28,35,16,60
535,Rajasthan,Bikaner,Uttam,396,160,86,38,35,17,61
536,Rajasthan,Dausa,Uttam,394,171,80,35,34,13,61
537,Rajasthan,Pali,Uttam,390,156,84,41,34,16,58
538,Rajasthan,Hanumangarh,Uttam,386,145,86,41,35,22,58
539,Rajasthan,Karauli,Uttam,383,161,83,34,35,13,57
540,Rajasthan,Sirohi,Uttam,381,156,82,33,35,19,57
541,Rajasthan,Jalor,Uttam,378,139,84,38,35,21,61
542,Rajasthan,"Sawai Madhopur",Uttam,377,143,85,36,35,18,61
543,Rajasthan,Bhilwara,Uttam,377,153,84,33,35,12,61
544,Rajasthan,Dungarpur,Uttam,377,139,85,40,35,19,59
545,Rajasthan,Kota,Uttam,374,170,85,25,35,21,38
546,Rajasthan,Jaisalmer,Uttam,373,143,84,40,34,13,59
547,Rajasthan,Jhalawar,Uttam,369,157,73,29,35,11,64
548,Rajasthan,Baran,Uttam,364,155,82,24,32,9,63
549,Rajasthan,Banswara,Uttam,360,137,84,31,34,18,57
550,Rajasthan,Churu,Prachesta-1,352,168,56,34,19,21,55
551,Rajasthan,Udaipur,Prachesta-1,350,126,82,36,35,13,57
552,Rajasthan,Bharatpur,Prachesta-1,346,149,71,36,16,16,59
553,Sikkim,Pakyong,Prachesta-1,349,139,76,42,18,17,58
554,Sikkim,Soreng,Prachesta-1,342,109,80,38,30,19,65
555,Sikkim,Gyalshing,Prachesta-1,331,97,82,38,30,21,63
556,Sikkim,Mangan,Prachesta-1,331,111,82,32,27,18,61
557,Sikkim,Gangtok,Prachesta-1,323,122,77,27,27,18,52
558,Sikkim,Namchi,Prachesta-2,298,119,63,32,19,12,54
559,Tamilnadu,Perambalur,Uttam,411,165,82,40,25,17,82
560,Tamilnadu,Chennai,Uttam,391,137,80,38,35,19,83
561,Tamilnadu,Coimbatore,Uttam,391,148,80,40,25,19,79
562,Tamilnadu,Ariyalur,Uttam,389,141,82,40,25,16,84
563,Tamilnadu,Erode,Uttam,388,148,80,42,25,15,79
564,Tamilnadu,Cuddalore,Uttam,387,140,82,41,28,18,79
565,Tamilnadu,Kancheepuram,Uttam,387,143,82,40,25,18,78
566,Tamilnadu,Tiruvallur,Uttam,387,143,81,40,25,16,81
567,Tamilnadu,Chengalpattu,Uttam,385,143,82,40,25,17,79
568,Tamilnadu,Tiruchirappalli,Uttam,385,140,81,40,25,17,81
569,Tamilnadu,Thanjavur,Uttam,385,144,82,41,25,12,81
570,Tamilnadu,Salem,Uttam,385,143,81,41,25,16,80
571,Tamilnadu,Vellore,Uttam,384,142,80,39,25,15,81
572,Tamilnadu,Tirupattur,Uttam,383,140,80,41,25,15,81
573,Tamilnadu,Madurai,Uttam,383,143,78,40,25,15,81
574,Tamilnadu,Kanniyakumari,Uttam,382,137,83,41,25,17,80
575,Tamilnadu,Virudhunagar,Uttam,382,137,81,40,25,17,81
576,Tamilnadu,"The Nilgiris",Uttam,381,143,79,41,25,15,79
577,Tamilnadu,Krishnagiri,Uttam,380,134,79,39,30,18,80
578,Tamilnadu,Tiruppur,Uttam,379,136,81,42,25,15,81
579,Tamilnadu,Tiruvannamalai,Uttam,379,134,82,41,25,16,81
580,Tamilnadu,Tiruvarur,Uttam,379,140,80,41,25,14,79
581,Tamilnadu,Dindigul,Uttam,379,141,79,38,25,16,80
582,Tamilnadu,Tirunelveli,Uttam,379,137,79,37,35,12,79
583,Tamilnadu,Sivagangai,Uttam,378,137,80,40,25,16,79
584,Tamilnadu,Thoothukkudi,Uttam,377,138,80,39,25,12,83
585,Tamilnadu,Villupuram,Uttam,376,135,80,38,25,18,80
586,Tamilnadu,Kallakurichi,Uttam,375,136,78,40,25,17,79
587,Tamilnadu,Ranipet,Uttam,371,136,82,38,25,9,81
588,Tamilnadu,Nagapattinam,Uttam,370,133,82,35,25,15,80
589,Tamilnadu,Dharmapuri,Uttam,369,131,82,40,25,9,82
590,Tamilnadu,Karur,Uttam,367,122,82,42,25,17,80
591,Tamilnadu,Namakkal,Uttam,367,127,81,40,25,14,81
592,Tamilnadu,Tenkasi,Uttam,366,127,81,37,25,15,81
593,Tamilnadu,Ramanathapuram,Prachesta-1,357,121,81,37,25,12,81
594,Tamilnadu,Pudukkottai,Prachesta-1,356,116,79,41,25,16,79
595,Tamilnadu,Theni,Prachesta-1,347,115,79,34,25,14,80
596,Telangana,Medchal,Uttam,381,128,85,44,35,21,68
597,Telangana,Hanumakonda,Uttam,377,141,78,42,32,13,72
598,Telangana,Siddipet,Uttam,373,135,83,39,34,15,67
599,Telangana,Warangal,Uttam,361,126,76,43,31,13,72
600,Telangana,Nalgonda,Prachesta-1,351,124,82,34,35,12,64
601,Telangana,Nizamabad,Prachesta-1,349,127,83,31,31,15,63
602,Telangana,Mahabubabad,Prachesta-1,343,118,76,39,28,12,70
603,Telangana,Wanaparthy,Prachesta-1,340,117,81,38,32,8,64
604,Telangana,Karimnagar,Prachesta-1,340,126,77,35,27,10,64
605,Telangana,Sangareddy,Prachesta-1,337,120,78,30,32,15,62
606,Telangana,Rangareddy,Prachesta-1,336,136,68,31,25,17,59
607,Telangana,Mancherial,Prachesta-1,332,133,76,25,32,8,58
608,Telangana,Jayashankar,Prachesta-1,331,125,74,33,26,6,68
609,Telangana,"Jogulamba Gadwal",Prachesta-1,330,121,74,32,26,8,69
610,Telangana,Mahabubnagar,Prachesta-1,330,130,78,31,21,7,63
611,Telangana,Vikarabad,Prachesta-1,328,134,66,29,28,8,64
612,Telangana,Jagtial,Prachesta-1,328,118,73,31,34,8,64
613,Telangana,Kamareddy,Prachesta-1,326,119,74,27,30,7,69
614,Telangana,Mulugu,Prachesta-1,326,101,72,40,32,11,70
615,Telangana,Jangaon,Prachesta-1,321,112,80,32,28,8,61
616,Telangana,Khammam,Prachesta-1,320,113,64,43,27,8,65
617,Telangana,"Bhadradri Kothagudem",Prachesta-1,319,114,78,27,25,9,66
618,Telangana,Hyderabad,Prachesta-1,319,121,72,28,26,18,55
619,Telangana,"Rajanna Siricilla",Prachesta-1,313,97,83,27,33,12,62
620,Telangana,Medak,Prachesta-1,308,110,71,36,23,8,60
621,Telangana,"Kumuram Bheem Asifabad",Prachesta-1,304,114,65,32,22,4,68
622,Telangana,Nirmal,Prachesta-1,304,115,67,33,17,4,68
623,Telangana,Narayanapet,Prachesta-2,299,105,65,35,27,10,57
624,Telangana,"Yadadri Bhuvanagiri",Prachesta-2,297,100,72,34,21,8,61
625,Telangana,Nagarkurnool,Prachesta-2,296,95,75,25,27,6,69
626,Telangana,Suryapet,Prachesta-2,294,97,71,26,32,7,63
627,Telangana,Peddapalli,Prachesta-2,286,94,69,25,24,8,65
628,Telangana,Adilabad,Prachesta-2,276,84,67,32,25,3,64
629,Tripura,Sepahijala,Prachesta-1,345,131,80,31,28,8,67
630,Tripura,Khowai,Prachesta-1,338,118,82,38,29,7,64
631,Tripura,"South Tripura",Prachesta-1,334,127,80,42,29,3,52
632,Tripura,"West Tripura",Prachesta-1,332,129,76,44,20,9,54
633,Tripura,Dhalai,Prachesta-1,313,100,69,43,31,5,65
634,Tripura,"North Tripura",Prachesta-1,310,109,79,42,28,11,42
635,Tripura,Unakoti,Prachesta-2,256,95,72,34,15,3,36
636,Tripura,Gomati,Prachesta-3,229,97,50,32,19,6,26
637,"Uttar Pradesh","Gautam Buddha Nagar",Uttam,386,149,84,37,34,22,60
638,"Uttar Pradesh",Mathura,Uttam,381,155,81,38,34,14,59
639,"Uttar Pradesh",Varanasi,Uttam,380,148,83,42,35,14,59
640,"Uttar Pradesh",Deoria,Uttam,376,150,84,35,35,9,62
641,"Uttar Pradesh",Gorakhpur,Uttam,371,141,85,37,35,12,60
642,"Uttar Pradesh",Farrukhabad,Uttam,371,147,81,41,35,9,57
643,"Uttar Pradesh",Shrawasti,Uttam,370,132,81,43,35,9,70
644,"Uttar Pradesh",Mahoba,Uttam,367,139,86,43,35,7,58
645,"Uttar Pradesh",Prayagraj,Uttam,366,143,85,36,35,11,56
646,"Uttar Pradesh",Bulandshahr,Uttam,366,137,84,43,35,15,52
647,"Uttar Pradesh",Jhansi,Uttam,365,124,83,39,31,8,79
648,"Uttar Pradesh","Amethi - CSM Nagar",Uttam,365,135,82,42,35,9,62
649,"Uttar Pradesh","Shamli (Prabudh Nagar)",Uttam,364,127,86,44,35,11,61
650,"Uttar Pradesh",Ghaziabad,Uttam,362,137,86,36,32,21,52
651,"Uttar Pradesh","Sambhal (Bhim Nagar)",Uttam,361,141,83,41,35,14,48
652,"Uttar Pradesh",Firozabad,Prachesta-1,357,130,83,43,30,10,60
653,"Uttar Pradesh",Bareilly,Prachesta-1,355,118,86,42,35,15,60
654,"Uttar Pradesh",Meerut,Prachesta-1,355,129,84,37,33,16,56
655,"Uttar Pradesh",Lucknow,Prachesta-1,353,132,76,38,31,17,58
656,"Uttar Pradesh",Basti,Prachesta-1,352,131,83,34,35,8,61
657,"Uttar Pradesh","Sant Kabir Nagar",Prachesta-1,352,135,79,32,34,13,58
658,"Uttar Pradesh",Mirzapur,Prachesta-1,351,130,80,35,35,14,56
659,"Uttar Pradesh",Ballia,Prachesta-1,348,143,82,36,28,7,52
660,"Uttar Pradesh","Kanpur Dehat",Prachesta-1,347,143,77,30,30,6,60
661,"Uttar Pradesh",Gonda,Prachesta-1,347,130,80,33,35,9,60
662,"Uttar Pradesh",Saharanpur,Prachesta-1,346,120,82,42,35,8,60
663,"Uttar Pradesh",Kheri,Prachesta-1,344,131,80,39,31,7,56
664,"Uttar Pradesh","Hapur (Panchsheel Nagar)",Prachesta-1,343,114,82,38,32,13,63
665,"Uttar Pradesh","Jyotiba Phule Nagar (Amroha)",Prachesta-1,341,122,81,40,33,5,61
666,"Uttar Pradesh",Kushinagar,Prachesta-1,341,127,81,33,32,9,59
667,"Uttar Pradesh",Pratapgarh,Prachesta-1,339,122,84,30,34,10,58
668,"Uttar Pradesh",Hathras,Prachesta-1,338,116,82,38,35,9,57
669,"Uttar Pradesh",Sultanpur,Prachesta-1,337,121,82,36,35,9,55
670,"Uttar Pradesh",Ghazipur,Prachesta-1,337,131,79,35,30,6,56
671,"Uttar Pradesh",Bijnor,Prachesta-1,337,110,84,37,35,13,57
672,"Uttar Pradesh",Azamgarh,Prachesta-1,335,128,72,30,33,6,65
673,"Uttar Pradesh",Auraiya,Prachesta-1,334,141,74,25,29,6,60
674,"Uttar Pradesh",Etawah,Prachesta-1,334,132,77,25,35,7,58
675,"Uttar Pradesh",Sonbhadra,Prachesta-1,334,108,84,37,35,11,59
676,"Uttar Pradesh",Barabanki,Prachesta-1,334,123,81,37,30,7,55
677,"Uttar Pradesh",Kannauj,Prachesta-1,332,124,80,40,34,10,44
678,"Uttar Pradesh",Maharajganj,Prachesta-1,332,124,82,39,33,13,42
679,"Uttar Pradesh",Moradabad,Prachesta-1,331,118,80,36,31,12,54
680,"Uttar Pradesh",Siddharthnagar,Prachesta-1,331,122,81,32,30,8,57
681,"Uttar Pradesh",Faizabad,Prachesta-1,331,125,74,31,29,13,58
682,"Uttar Pradesh",Rampur,Prachesta-1,330,124,75,36,30,9,57
683,"Uttar Pradesh",Bhadoi,Prachesta-1,330,118,78,32,32,12,58
684,"Uttar Pradesh",Mau,Prachesta-1,330,133,80,39,34,6,38
685,"Uttar Pradesh",Baghpat,Prachesta-1,329,111,81,35,35,12,55
686,"Uttar Pradesh",Bahraich,Prachesta-1,327,124,78,38,32,3,53
687,"Uttar Pradesh",Etah,Prachesta-1,327,123,76,32,30,6,59
688,"Uttar Pradesh",Hardoi,Prachesta-1,327,106,83,37,35,6,60
689,"Uttar Pradesh","Ambedkar Nagar",Prachesta-1,326,116,71,34,30,14,61
690,"Uttar Pradesh",Jaunpur,Prachesta-1,325,114,84,32,35,8,53
691,"Uttar Pradesh",Kaushambi,Prachesta-1,320,112,80,38,30,5,55
692,"Uttar Pradesh",Shahjahanpur,Prachesta-1,320,116,72,36,30,11,55
693,"Uttar Pradesh","Kanshiram Nagar",Prachesta-1,318,104,78,34,32,12,59
694,"Uttar Pradesh","Kanpur Nagar",Prachesta-1,318,104,77,32,35,10,60
695,"Uttar Pradesh",Muzaffarnagar,Prachesta-1,317,115,75,35,32,10,51
696,"Uttar Pradesh",Jalaun,Prachesta-1,317,140,65,28,18,8,58
697,"Uttar Pradesh",Unnao,Prachesta-1,314,105,85,34,30,5,55
698,"Uttar Pradesh",Agra,Prachesta-1,311,108,71,34,33,9,56
699,"Uttar Pradesh",Fatehpur,Prachesta-1,311,118,68,36,31,4,54
700,"Uttar Pradesh",Chandauli,Prachesta-1,310,114,73,37,25,6,55
701,"Uttar Pradesh","Hamirpur (U.P.)",Prachesta-1,307,111,73,36,26,4,58
702,"Uttar Pradesh",Lalitpur,Prachesta-1,306,115,68,34,24,6,58
703,"Uttar Pradesh","Balrampur Up",Prachesta-1,306,94,78,35,35,5,59
704,"Uttar Pradesh",Chitrakoot,Prachesta-1,304,117,70,33,23,4,57
705,"Uttar Pradesh",Budaun,Prachesta-1,304,91,82,36,30,7,58
706,"Uttar Pradesh",Sitapur,Prachesta-1,302,95,78,39,27,7,56
707,"Uttar Pradesh",Pilibhit,Prachesta-1,301,106,70,37,28,11,48
708,"Uttar Pradesh",Mainpuri,Prachesta-2,296,101,72,38,20,7,57
709,"Uttar Pradesh","Rae Bareli",Prachesta-2,292,117,67,36,23,6,43
710,"Uttar Pradesh",Banda,Prachesta-2,287,109,71,26,26,6,49
711,"Uttar Pradesh",Aligarh,Prachesta-2,286,107,52,30,29,12,55
712,Uttarakhand,Dehradun,Uttam,364,146,81,38,28,16,56
713,Uttarakhand,Hardwar,Prachesta-1,350,127,81,38,30,17,57
714,Uttarakhand,Champawat,Prachesta-1,349,132,82,37,31,11,57
715,Uttarakhand,Bageshwar,Prachesta-1,348,123,85,36,30,15,59
716,Uttarakhand,Pauri,Prachesta-1,340,143,77,26,33,15,47
717,Uttarakhand,"Udham Singh Nagar",Prachesta-1,329,117,81,34,25,14,58
718,Uttarakhand,Nainital,Prachesta-1,329,149,65,40,14,12,48
719,Uttarakhand,Rudraprayag,Prachesta-1,328,123,76,34,26,12,56
720,Uttarakhand,Pithoragarh,Prachesta-1,323,123,78,38,24,8,51
721,Uttarakhand,Almora,Prachesta-1,317,122,79,34,23,7,52
722,Uttarakhand,Uttarkashi,Prachesta-1,310,109,75,34,25,11,55
723,Uttarakhand,"Tehri Garhwal",Prachesta-1,308,111,79,35,32,9,41
724,Uttarakhand,Chamoli,Prachesta-2,299,113,74,24,23,10,55
725,"West Bengal",Kolkata,Ati-Uttam,427,185,82,42,34,27,57
726,"West Bengal",Hooghly,Uttam,415,169,85,44,35,23,58
727,"West Bengal","Purba Bardhaman",Uttam,415,169,85,44,35,23,59
728,"West Bengal","North Twenty Four Pargana",Uttam,407,189,81,33,31,24,50
729,"West Bengal",Murshidabad,Uttam,397,177,79,37,35,14,55
730,"West Bengal",Jhargram,Uttam,393,172,81,41,31,17,52
731,"West Bengal",Coochbehar,Uttam,387,158,82,34,35,21,58
732,"West Bengal","Paschim Bardhaman",Uttam,386,162,78,36,35,21,55
733,"West Bengal",Nadia,Uttam,380,160,76,34,30,20,60
734,"West Bengal","South Twenty Four Pargana",Uttam,380,156,79,36,34,21,54
735,"West Bengal",Maldah,Uttam,380,149,79,36,35,21,61
736,"West Bengal",Bankura,Uttam,380,160,78,31,35,18,58
