"Sl. No.",State,"Name Of University","Name Of College","Arts - Male","Arts - Female","Science - Male","Science - Female","Commerce - Male","Commerce - Female","Computer App / Computer Science - Male","Computer App / Computer Science - Female","Management - Male","Management - Female","Education - Male","Education - Female","Engineering and Technology - Male","Engineering and Technology - Female","Medicine - Male","Medicine - Female","Agriculture - Male","Agriculture - Female","Veterinary Science - Male","Veterinary Science - Female","Law - Male","Law - Female","Others - Male","Others - Female","Total - Male","Total - Female","Grand Total"
877,"Arunachal Pradesh","Rajiv Gandhi University, Itanagar (Id: U-0047)","Rang Frah Government College, Changlang (Id: C-16290)",86,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,158,244
878,"Arunachal Pradesh","Rajiv Gandhi University, Itanagar (Id: U-0047)","Dera Natung Government College, Itanagar (Id: C-16291)",1895,1744,148,154,0,176,260,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2303,2074,4377
879,"Arunachal Pradesh","Rajiv Gandhi University, Itanagar (Id: U-0047)","Donyi Polo Government College, Kamki (Id: C-16292)",1209,1091,0,0,0,23,43,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1252,1114,2366
880,"Arunachal Pradesh","Rajiv Gandhi University, Itanagar (Id: U-0047)","Don Bosco College, Juli, Itanagar (Id: C-16296)",277,366,0,0,0,78,72,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349,444,793
881,"Arunachal Pradesh","Rajiv Gandhi University, Itanagar (Id: U-0047)","Government College, Bomdila (Id: C-16297)",350,553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,553,903
882,"Arunachal Pradesh","Rajiv Gandhi University, Itanagar (Id: U-0047)","Arunachal Community College of Health Sciences (Id: C-16298)",80,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,40,120
883,"Arunachal Pradesh","Rajiv Gandhi University, Itanagar (Id: U-0047)","Wangcha Rajkumar Government College, Deomali (Id: C-16300)",631,744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,631,744,1375
884,"Arunachal Pradesh","Rajiv Gandhi University, Itanagar (Id: U-0047)","St. Francis De Sales College, Aalo (Id: C-16301)",74,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,113,187
885,"Arunachal Pradesh","Rajiv Gandhi University, Itanagar (Id: U-0047)","Jawaharlal Nehru College Pasighat (Id: C-16302)",1292,1297,249,272,0,72,98,72,0,0,14,19,0,0,0,0,0,0,0,0,0,0,0,0,1653,1660,3313
886,"Arunachal Pradesh","Rajiv Gandhi University, Itanagar (Id: U-0047)","Government College Seppa (Id: C-16303)",232,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,152,384
