id,survey_year,state,college_institution,address_line1,address_line2,city,district,pin_code,website,area_in_acre,construct_in_sqmt,year_of_establishment,affiliat_university,other_affiliated_university_id,statutory_body_id,other_statutory_body,year_of_affiliation,location,latitude,longitude,type,autonomous,has_diploma_courses,management,specialized,evening,speciality,other_speciality,girl_exclusive,staff_quarter_available,non_teaching_staff,teaching_staff,total,student_hostel_available,hostel_count
27214,2015,Telangana,"Vivekavardhini Degree College, Near Bus Stand, Mancherial","Near Bus-stand,Mancherial","Near Bus-stand,Mancherial",Mancherial,Adilabad,504208,NA,2,4983.58,2001,"Kakatiya University, Warangal",NA,1,NA,2001,U,NA,NA,"Affiliated College",FALSE,FALSE,"Private Un-Aided",FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE,0
47832,2015,Gujarat,"GOVERNMENT ARTS AND COMMERCE COLLEGE, KATHLAL",AT:KATHLAL,PO:KATHLAL,"TA: KATHLAL",Kheda,387630,www.gacckathlal.info,21,700,2012,"Sardar Patel University, Vallabh Vidyanagar",NA,1,NA,2012,R,22.900314,72.991168,"Affiliated College",FALSE,FALSE,"State Government",FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE,0
19665,2015,Telangana,"PRRM College of Pharmacy","Shabad Post & Mandal","Ranga Reddy Dist.",Shabad,Rangareddy,509217,www.prrp.in,4.31,6744,2007,"Jawaharlal Nehru Technological University, Hyderabad",NA,9,NA,2007,R,30.1672152,76.8683714,"Affiliated College",FALSE,FALSE,"Private Un-Aided",TRUE,FALSE,Pharmacy,NA,FALSE,FALSE,NA,NA,NA,FALSE,0
52045,2015,Gujarat,"SMT. SHANTAGAURI RASIKLAL SHAH(RANGWALA) COLLEGE OF PHYSIOTHERAPY","COLLEGE CAMPUS,","OPP.N.C.DESAI PETROL PUMP, HIGHWAY ROAD KADI",KADI,Mahesana,382715,www.srsphysiotherapy.org,12.5,1910.76,2014,"Hemchandracharya North Gujart University, Patan",NA,19,GOG,2014,R,23.29951,72.336271,"Affiliated College",TRUE,FALSE,"Private Un-Aided",TRUE,FALSE,Physiotherapy,NA,FALSE,FALSE,NA,NA,NA,FALSE,0
6258,2015,"West Bengal","Aryabhatta Institute of Engineering and Management Durgapur 171","Vill: Panagarh Gram","PO: Panagarh Bazar",Durgapur,Barddhaman,713148,www.aiemd.org,11.35,24533,2003,"Maulana Abul Kalam Azad University of Technology, West Bengal",NA,6,NA,2003,R,23.48733,87.44121,"Affiliated College",FALSE,FALSE,"Private Un-Aided",FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,TRUE,5
6332,2015,"West Bengal","Techno India 309","EM-4/1, SECTOR-V","SALT LAKE CITY",KOLKATA,"North Twenty Four Parganas",700091,www.ticollege.ac.in,0.17,2100,2001,"Maulana Abul Kalam Azad University of Technology, West Bengal",NA,19,WBUT,2001,U,22.00005,88.00005,"Affiliated College",FALSE,FALSE,"Private Un-Aided",FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE,0
6307,2015,"West Bengal","Aryabhatta Institute of Engg. and Management 327","Vill Panagarh Gram","PO Panagarh Bazar PIN 713148",Durgapur,Barddhaman,713148,www.aiemd.org,1.56,2412,2007,"Maulana Abul Kalam Azad University of Technology, West Bengal",NA,19,"West Bengal University of Technology",2007,R,23.48733,87.44121,"Affiliated College",FALSE,FALSE,"Private Un-Aided",FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,TRUE,2
49484,2015,Gujarat,"INSTITUTE OF ARCHITECTURE, NIRMA UNIVERSITY","Institute of Architecture","Nirma University, S. G. Highway, PIN - 382481",Ahmedabad,Ahmadabad,382481,www.nirmauni.ac.in,0,0,2014,"Nirma University, Ahmedabad",NA,8,NA,2014,U,NA,NA,"Constituent / University College",FALSE,FALSE,University,TRUE,FALSE,Architecture,NA,FALSE,FALSE,NA,NA,NA,FALSE,0
48503,2015,Gujarat,"GROW MORE INSTITUTE OF SCIENCE","AHEMDABAD UDAIPUR N H NO 8 HIMMATNAGAR SABARKANTHA","AHEMDABAD UDAIPUR N H NO 8 HIMMATNAGAR SABARKANTHA",HIMATNAGAR,"Sabar Kantha",383001,www.growmore.ac.in,25,97125,2015,"Hemchandracharya North Gujart University, Patan",135,19,"HNGU PATAN",2015,R,NA,NA,"Affiliated College",FALSE,FALSE,"Private Aided",FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,TRUE,2
45223,2015,Maharashtra,"KHAREPATAN PANCHROSHI SHIKSHAN PRASARAK MANDALâS ARTS AND COMMERCE COLLEGE, SINDHUDURG",sindhudurg,"At/Post - Kharepatan",Kharepatan,Sindhudurg,416602,NA,NA,NA,2012,"Mumbai University Mumbai",NA,1,NA,2012,R,NA,NA,"Affiliated College",FALSE,FALSE,"Private Aided",FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE,0
