state_name,state_id,district_name,lg_dt_code,medium,micro,small,total
RAJASTHAN,8,JAISALMER,103,5,16559,104,16668
RAJASTHAN,8,NAGAUR,110,10,69610,422,70042
RAJASTHAN,8,"Neem Ka Thana",114,0,2519,4,2523
RAJASTHAN,8,Salumbar,777,0,1748,2,1750
RAJASTHAN,8,Shahpura,92,0,1058,2,1060
RAJASTHAN,8,SIKAR,114,12,83852,419,84283
SIKKIM,11,Soreng,742,0,940,1,941
"TAMIL NADU",33,Chengalpattu,730,5,81356,308,81669
"TAMIL NADU",33,KANCHIPURAM,574,64,93843,829,94736
"TAMIL NADU",33,MADURAI,578,48,122737,979,123764
"TAMIL NADU",33,PUDUKKOTTAI,582,5,51624,217,51846
"TAMIL NADU",33,Tenkasi,733,2,34326,126,34454
"TAMIL NADU",33,THIRUVALLUR,589,42,121331,894,122267
"TAMIL NADU",33,TIRUCHIRAPPALLI,591,25,98573,665,99263
"TAMIL NADU",33,TIRUNELVELI,592,10,65738,390,66138
"TAMIL NADU",33,TIRUVANNAMALAI,593,15,63195,244,63454
"TAMIL NADU",33,VELLORE,595,21,71147,440,71608
TELANGANA,36,"BHADRADRI KOTHAGUDEM",690,1,26757,145,26903
TELANGANA,36,Hanumakonda,686,16,34938,343,35297
TELANGANA,36,"JAYASHANKAR BHUPALAPALLY",687,0,8901,35,8936
TELANGANA,36,"MEDCHAL MALKAJGIRI",700,69,112890,1360,114319
TELANGANA,36,PEDDAPALLI,682,2,22048,117,22167
"UTTAR PRADESH",9,ALIGARH,119,31,63529,589,64149
"UTTAR PRADESH",9,AMETHI,640,2,23055,125,23182
"UTTAR PRADESH",9,AYODHYA,140,6,39394,272,39672
"UTTAR PRADESH",9,BAHRAICH,125,5,31181,241,31427
"UTTAR PRADESH",9,CHANDAULI,135,16,25353,177,25546
"UTTAR PRADESH",9,CHITRAKOOT,136,10,10068,81,10159
"UTTAR PRADESH",9,ETAH,138,8,20716,207,20931
"UTTAR PRADESH",9,HAPUR,661,12,28915,241,29168
"UTTAR PRADESH",9,HATHRAS,163,5,21329,185,21519
"UTTAR PRADESH",9,"KANPUR DEHAT",156,1,19761,120,19882
"UTTAR PRADESH",9,KAUSHAMBI,158,1,15478,78,15557
"UTTAR PRADESH",9,LALITPUR,161,8,14720,114,14842
"UTTAR PRADESH",9,LUCKNOW,162,145,189353,2356,191854
"UTTAR PRADESH",9,MAINPURI,166,2,24642,177,24821
"UTTAR PRADESH",9,MAU,168,3,29370,131,29504
"UTTAR PRADESH",9,PRATAPGARH,174,5,36320,179,36504
"UTTAR PRADESH",9,"RAE BARELI",175,5,40808,217,41030
"UTTAR PRADESH",9,SAMBHAL,659,49,23508,310,23867
"UTTAR PRADESH",9,SHRAVASTI,181,0,8890,34,8924
"UTTAR PRADESH",9,SONBHADRA,184,10,23789,221,24020
"UTTAR PRADESH",9,UNNAO,186,4,30662,171,30837
UTTARAKHAND,5,DEHRADUN,49,43,94904,786,95733
UTTARAKHAND,5,UTTARKASHI,57,1,7156,16,7173
"WEST BENGAL",19,HOOGHLY,312,12,80286,639,80937
"WEST BENGAL",19,Jhargram,703,1,11592,49,11642
"WEST BENGAL",19,NADIA,320,10,71397,474,71881
"WEST BENGAL",19,"PASCHIM BARDHAMAN",704,36,55936,703,56675
"WEST BENGAL",19,"SOUTH 24 PRAGANAS",304,75,112274,677,113026
"WEST BENGAL",19,"UTTAR DINAJPUR",311,8,45628,401,46037
