StateName,state_id,DistrictName,DISTRICT_ID,TotalUAM,General,SC,ST,OBC,_CreatedDate
ASSAM,18,SIVASAGAR,322,429,203,22,11,193,2022-04-01T08:30:13.143
ASSAM,18,"WEST KARBI ANGLONG",730,1,0,0,0,1,2022-04-01T08:30:13.143
"ARUNACHAL PRADESH",12,TAWANG,258,13,8,1,2,2,2022-04-01T08:30:12.940
"ARUNACHAL PRADESH",12,"WEST SIANG",264,46,13,4,29,0,2022-04-01T08:30:12.940
ASSAM,18,CHIRANG,652,123,63,12,35,13,2022-04-01T08:30:13.143
ASSAM,18,HAILAKANDI,329,152,128,8,1,15,2022-04-01T08:30:13.143
ASSAM,18,HOJAI,727,1,1,0,0,0,2022-04-01T08:30:13.143
ASSAM,18,KAMRUP,312,946,756,39,31,120,2022-04-01T08:30:13.143
ASSAM,18,NALBARI,313,167,141,7,3,16,2022-04-01T08:30:13.143
BIHAR,10,DARBHANGA,229,33005,6591,6752,1910,17752,2022-04-01T08:30:13.457
BIHAR,10,GOPALGANJ,231,6859,2246,568,327,3718,2022-04-01T08:30:13.457
BIHAR,10,JAMUI,253,7453,1700,1562,207,3984,2022-04-01T08:30:13.457
BIHAR,10,JEHANABAD,249,2471,776,394,64,1237,2022-04-01T08:30:13.457
BIHAR,10,KATIHAR,226,12131,4828,730,652,5921,2022-04-01T08:30:13.457
BIHAR,10,NAWADA,252,5137,1543,970,137,2487,2022-04-01T08:30:13.457
BIHAR,10,"PASHCHIM  CHAMPARAN",217,36628,8812,4487,2210,21119,2022-04-01T08:30:13.457
BIHAR,10,SAHARSA,228,14518,3340,1616,526,9036,2022-04-01T08:30:13.457
BIHAR,10,SITAMARHI,220,32977,8534,4129,1306,19008,2022-04-01T08:30:13.457
CHHATTISGARH,22,"BALOD BAZAR",674,3328,623,421,229,2055,2022-04-01T08:30:17.817
CHHATTISGARH,22,BASTAR,380,910,415,29,201,265,2022-04-01T08:30:17.817
CHHATTISGARH,22,DHAMTARI,378,1581,329,79,66,1107,2022-04-01T08:30:17.817
CHHATTISGARH,22,GARIABAND,681,920,114,56,125,625,2022-04-01T08:30:17.817
