StateName,state_id,DistrictName,DISTRICT_ID,TotalUAM,General,SC,ST,OBC,_CreatedDate
GUJARAT,24,PORBANDAR,437,779,438,16,4,321,NA
GUJARAT,24,RAJKOT,435,54045,48814,663,142,4426,NA
GUJARAT,24,"SABAR KANTHA",431,1638,1351,74,9,204,NA
GUJARAT,24,SURAT,448,206758,198047,1178,1108,6425,NA
GUJARAT,24,SURENDRANAGAR,434,4049,1965,310,26,1748,NA
GUJARAT,24,TAPI,672,549,376,11,100,62,NA
GUJARAT,24,VADODARA,445,18622,16575,532,178,1337,NA
GUJARAT,24,VALSAD,451,7927,6748,128,283,768,NA
HARYANA,6,AMBALA,89,4644,3733,316,5,590,NA
HARYANA,6,BHIWANI,100,2320,1762,169,4,385,NA
HARYANA,6,FARIDABAD,106,17948,15684,611,42,1611,NA
