state_name,state_id,district_name,lg_dt_code,medium,micro,small,total
BIHAR,10,JEHANABAD,199,0,15007,95,15102
BIHAR,10,KATIHAR,201,9,50046,317,50372
BIHAR,10,MADHUBANI,206,7,61140,247,61394
BIHAR,10,MUNGER,207,1,22661,69,22731
BIHAR,10,NAWADA,210,3,31103,156,31262
BIHAR,10,"PASHCHIM  CHAMPARAN",211,5,55092,271,55368
BIHAR,10,"PURBI  CHAMPARAN",213,77,91446,568,92091
BIHAR,10,ROHTAS,215,8,44246,405,44659
BIHAR,10,SHEOHAR,220,2,9753,23,9778
BIHAR,10,SITAMARHI,221,9,50532,219,50760
CHHATTISGARH,22,BIJAPUR,636,1,2687,9,2697
CHHATTISGARH,22,KORBA,383,33,28436,351,28820
CHHATTISGARH,22,RAJNANDAGAON,388,14,30676,326,31016
CHHATTISGARH,22,SAKTI,762,0,6417,19,6436
GUJARAT,24,DANG,444,0,2152,12,2164
GUJARAT,24,DOHAD,445,11,30229,254,30494
GUJARAT,24,MORBI,673,239,50380,2454,53073
GUJARAT,24,"PANCH MAHALS",454,25,31623,317,31965
GUJARAT,24,PORBANDAR,456,12,18295,241,18548
GUJARAT,24,SURAT,459,710,526174,11199,538083
GUJARAT,24,SURENDRANAGAR,460,35,41334,537,41906
HARYANA,6,BHIWANI,59,31,44249,569,44849
HARYANA,6,GURUGRAM,62,556,158016,4633,163205
HARYANA,6,KAITHAL,66,34,54126,568,54728
HARYANA,6,KARNAL,67,128,93658,1452,95238
HARYANA,6,NUH,604,6,29063,259,29328
HARYANA,6,PANCHKULA,70,45,32414,670,33129
HARYANA,6,REWARI,72,44,33392,616,34052
HARYANA,6,SONIPAT,75,127,60135,1512,61774
"HIMACHAL PRADESH",2,CHAMBA,16,2,11150,43,11195
"HIMACHAL PRADESH",2,HAMIRPUR,17,2,14699,96,14797
"HIMACHAL PRADESH",2,SOLAN,25,109,38939,922,39970
"HIMACHAL PRADESH",2,UNA,26,10,17456,199,17665
JHARKHAND,20,"GARHWA ",328,0,16302,90,16392
JHARKHAND,20,"KHUNTI ",606,0,6644,28,6672
JHARKHAND,20,"KODERMA ",334,11,19878,101,19990
JHARKHAND,20,"PAKUR ",337,3,9950,77,10030
JHARKHAND,20,"RAMGARH ",607,17,28130,204,28351
KARNATAKA,29,CHIKBALLAPUR,630,12,41227,310,41549
KARNATAKA,29,DAVANGERE,535,24,60644,562,61230
KARNATAKA,29,HASSAN,539,27,60936,659,61622
KARNATAKA,29,HAVERI,540,17,48907,393,49317
KARNATAKA,29,VIJAYANAGAR,738,2,22062,133,22197
KERALA,32,KOTTAYAM,560,46,53618,830,54494
KERALA,32,PATHANAMTHIPTA,564,13,32218,307,32538
KERALA,32,WAYANAD,567,10,27095,266,27371
"MADHYA PRADESH",23,ANUPPUR,390,2,12351,59,12412
"MADHYA PRADESH",23,BARWANI,393,14,27764,225,28003
"MADHYA PRADESH",23,BETUL,394,9,35656,208,35873
"MADHYA PRADESH",23,BURHANPUR,397,7,21313,170,21490
"MADHYA PRADESH",23,KATNI,413,36,26823,427,27286
"MADHYA PRADESH",23,KHARGONE,414,17,48329,372,48718
"MADHYA PRADESH",23,MANDLA,415,1,17423,127,17551
"MADHYA PRADESH",23,MAUGANJ,766,0,2024,2,2026
"MADHYA PRADESH",23,PANNA,420,0,14675,52,14727
MAHARASHTRA,27,CHANDRAPUR,473,39,77339,552,77930
MAHARASHTRA,27,OSMANABAD,488,11,78873,281,79165
MAHARASHTRA,27,RAIGAD,491,119,222810,1706,224635
MAHARASHTRA,27,SATARA,494,64,169845,950,170859
